2018-04-10T14:20:11.0934459Z	Logger	Started logging
2018-04-10T14:20:11.1124749Z	ExperimentController	Participant: 1
2018-04-10T14:20:11.1305037Z	ExperimentController	Hand model is female
2018-04-10T14:20:11.1555411Z	ExperimentController	Protocol file Protocol/Elements Agency Experiment/Protocol01.txt
2018-04-10T14:20:11.1695624Z	ExperimentController	Loaded 5 trials
2018-04-10T14:20:11.1830674Z	ExperimentController	Event ProtocolLoaded
2018-04-10T14:20:11.1985917Z	ExperimentController	Entering state Trial
2018-04-10T14:20:11.2131141Z	ExperimentController	Starting trial
2018-04-10T14:20:11.2291374Z	ExperimentController	Gap: Inactive
2018-04-10T14:20:11.2451489Z	ExperimentController	HandOffset: 0
2018-04-10T14:20:11.2601720Z	ExperimentController	Noise type 0
2018-04-10T14:20:11.2756960Z	ExperimentController	NoiseLevel: 0
2018-04-10T14:20:11.2912200Z	ExperimentController	Lambda: 0
2018-04-10T14:20:11.3067438Z	ExperimentController	Collision probability: 1
2018-04-10T14:20:11.3217666Z	ExperimentController	Knife PresentFalse
2018-04-10T14:20:11.3420276Z	TrialController	Started
2018-04-10T14:20:13.0548776Z	TrialController	Entering state SpecificTrial
2018-04-10T14:20:13.0598922Z	ElementsAgencyTrial	Noise type: Control
2018-04-10T14:20:13.0643924Z	ElementsAgencyTrial	Delay collision active: 0
2018-04-10T14:20:13.0683989Z	ElementsAgencyTrial	Started
2018-04-10T14:20:13.0719038Z	TrialController	Elements Agency Experiment State Machine started
2018-04-10T14:20:14.5683808Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T14:20:15.0816750Z	WaveController	Started
2018-04-10T14:20:15.3488688Z	WaveController	Entering state Initial
2018-04-10T14:20:16.8901612Z	WaveController	Initial Target Waved
2018-04-10T14:20:16.8936667Z	WaveController	Entering state Delay
2018-04-10T14:20:17.3846257Z	WaveController	Entering state Target
2018-04-10T14:20:17.3881303Z	WaveController	Light: 1
2018-04-10T14:20:19.4577910Z	WaveController	Probability for Wave 1: 0.9819161
2018-04-10T14:20:19.4607956Z	WaveController	Waved correctly
2018-04-10T14:20:19.4653027Z	WaveController	Time in wave: 1 was 2.069114
2018-04-10T14:20:19.4688080Z	WaveController	Entering state Feedback
2018-04-10T14:20:20.9653245Z	WaveController	Entering state End
2018-04-10T14:20:20.9693304Z	TrialController	Event Waved
2018-04-10T14:20:20.9743383Z	ElementsAgencyTrial	Entering state Interval
2018-04-10T14:20:20.9773401Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T14:20:21.4794654Z	WaveController	Started
2018-04-10T14:20:21.7451923Z	WaveController	Entering state Initial
2018-04-10T14:20:22.4598883Z	WaveController	Initial Target Waved
2018-04-10T14:20:22.4633927Z	WaveController	Entering state Delay
2018-04-10T14:20:22.9537392Z	WaveController	Entering state Target
2018-04-10T14:20:22.9572441Z	WaveController	Light: 0
2018-04-10T14:20:24.4975174Z	WaveController	Probability for Wave 2: 0.9528435
2018-04-10T14:20:24.5005220Z	WaveController	Waved correctly
2018-04-10T14:20:24.5050299Z	WaveController	Time in wave: 2 was 1.539513
2018-04-10T14:20:24.5085343Z	WaveController	Entering state Feedback
2018-04-10T14:20:26.0079601Z	WaveController	Entering state End
2018-04-10T14:20:26.0119668Z	TrialController	Event Waved
2018-04-10T14:20:26.0164739Z	ElementsAgencyTrial	Entering state Interval
2018-04-10T14:20:26.0194782Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T14:20:26.5052542Z	WaveController	Started
