2018-04-12T09:20:05.9883891Z	Logger	Started logging
2018-04-12T09:20:06.0029119Z	ExperimentController	Participant: 20180412_01
2018-04-12T09:20:06.0169334Z	ExperimentController	Hand model is female
2018-04-12T09:20:06.0464790Z	ExperimentController	Protocol file Protocol/Elements Agency Experiment/Protocol01.txt
2018-04-12T09:20:06.0615010Z	ExperimentController	Loaded 5 trials
2018-04-12T09:20:06.0760232Z	ExperimentController	Event ProtocolLoaded
2018-04-12T09:20:06.0930494Z	ExperimentController	Entering state Trial
2018-04-12T09:20:06.1095869Z	ExperimentController	Starting trial
2018-04-12T09:20:06.1331121Z	ExperimentController	Gap: Inactive
2018-04-12T09:20:06.1531543Z	ExperimentController	HandOffset: 0
2018-04-12T09:20:06.1696764Z	ExperimentController	Noise type 0
2018-04-12T09:20:06.1867026Z	ExperimentController	NoiseLevel: 0
2018-04-12T09:20:06.2032313Z	ExperimentController	Lambda: 0
2018-04-12T09:20:06.2202569Z	ExperimentController	Collision probability: 1
2018-04-12T09:20:06.2403275Z	ExperimentController	Knife PresentFalse
2018-04-12T09:20:06.2648580Z	TrialController	Started
2018-04-12T09:20:07.9434163Z	TrialController	Entering state SpecificTrial
2018-04-12T09:20:07.9509277Z	ElementsAgencyTrial	Noise type: Control
2018-04-12T09:20:07.9564497Z	ElementsAgencyTrial	Delay collision active: 0
2018-04-12T09:20:07.9629459Z	ElementsAgencyTrial	Started
2018-04-12T09:20:07.9669655Z	TrialController	Elements Agency Experiment State Machine started
2018-04-12T09:20:09.4438989Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-12T09:20:09.9642984Z	WaveController	Started
2018-04-12T09:20:10.2103180Z	WaveController	Entering state Initial
2018-04-12T09:20:10.2238504Z	WaveController	Initial Target Waved
2018-04-12T09:20:10.2303491Z	WaveController	Entering state Delay
2018-04-12T09:20:10.7220683Z	WaveController	Entering state Target
2018-04-12T09:20:10.7260744Z	WaveController	Light: 1
2018-04-12T09:20:11.3858915Z	WaveController	Probability for Wave 1: 0.05178428
2018-04-12T09:20:11.3903986Z	WaveController	Time in wave: 1 was 0.6565266
2018-04-12T09:20:11.3994130Z	WaveController	Entering state Feedback
2018-04-12T09:20:11.8843132Z	WaveController	Waved correctly
2018-04-12T09:20:12.8808273Z	WaveController	Entering state End
2018-04-12T09:20:12.8858350Z	TrialController	Event Waved
2018-04-12T09:20:12.8913436Z	ElementsAgencyTrial	Entering state Interval
2018-04-12T09:20:12.8963513Z	ElementsAgencyTrial	Entering state ExperimentWave
