2018-04-10T13:24:34.2214575Z	Logger	Started logging
2018-04-10T13:24:34.2349952Z	ExperimentController	Participant: Lights_error
2018-04-10T13:24:34.2479984Z	ExperimentController	Hand model is female
2018-04-10T13:24:34.2740376Z	ExperimentController	Protocol file Protocol/Elements Agency Experiment/Protocol01.txt
2018-04-10T13:24:34.2885749Z	ExperimentController	Loaded 5 trials
2018-04-10T13:24:34.3025833Z	ExperimentController	Event ProtocolLoaded
2018-04-10T13:24:34.3176062Z	ExperimentController	Entering state Trial
2018-04-10T13:24:34.3391482Z	ExperimentController	Starting trial
2018-04-10T13:24:34.3551632Z	ExperimentController	Gap: Inactive
2018-04-10T13:24:34.3707120Z	ExperimentController	HandOffset: 0
2018-04-10T13:24:34.3862360Z	ExperimentController	Noise type 0
2018-04-10T13:24:34.4012594Z	ExperimentController	NoiseLevel: 0
2018-04-10T13:24:34.4167828Z	ExperimentController	Lambda: 0
2018-04-10T13:24:34.4323065Z	ExperimentController	Collision probability: 1
2018-04-10T13:24:34.4483460Z	ExperimentController	Knife PresentFalse
2018-04-10T13:24:34.4643561Z	TrialController	Started
2018-04-10T13:24:36.1725209Z	TrialController	Entering state SpecificTrial
2018-04-10T13:24:36.1780170Z	ElementsAgencyTrial	Noise type: Control
2018-04-10T13:24:36.1825238Z	ElementsAgencyTrial	Delay collision active: 0
2018-04-10T13:24:36.1865422Z	ElementsAgencyTrial	Started
2018-04-10T13:24:36.1900474Z	TrialController	Elements Agency Experiment State Machine started
2018-04-10T13:24:37.6874195Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T13:24:38.1925648Z	WaveController	Started
2018-04-10T13:24:38.4451467Z	WaveController	Entering state Initial
2018-04-10T13:24:40.4684616Z	WaveController	Initial Target Waved
2018-04-10T13:24:40.4724678Z	WaveController	Entering state Delay
2018-04-10T13:24:40.9693850Z	WaveController	Entering state Target
2018-04-10T13:24:40.9728905Z	WaveController	Light: 0
2018-04-10T13:24:42.2180510Z	WaveController	Probability for Wave 1: 0.06771958
2018-04-10T13:24:42.2210553Z	WaveController	Waved correctly
2018-04-10T13:24:42.2245611Z	WaveController	Time in wave: 1 was 1.232723
2018-04-10T13:24:42.2285576Z	WaveController	Entering state Feedback
2018-04-10T13:24:43.7153564Z	WaveController	Entering state End
2018-04-10T13:24:43.7198632Z	TrialController	Event Waved
2018-04-10T13:24:43.7248857Z	ElementsAgencyTrial	Entering state Interval
2018-04-10T13:24:43.7278852Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T13:24:44.2175953Z	WaveController	Started
2018-04-10T13:24:44.4699843Z	WaveController	Entering state Initial
2018-04-10T13:24:45.7659998Z	WaveController	Initial Target Waved
2018-04-10T13:24:45.7700057Z	WaveController	Entering state Delay
2018-04-10T13:24:46.2627056Z	WaveController	Entering state Target
2018-04-10T13:24:46.2657102Z	WaveController	Light: 1
2018-04-10T13:24:46.9702249Z	WaveController	Waved incorrectly
2018-04-10T13:24:46.9747317Z	WaveController	Time in wave: 2 was 0.6994572
2018-04-10T13:24:46.9782372Z	WaveController	Entering state Feedback
2018-04-10T13:24:48.4695810Z	WaveController	Entering state End
2018-04-10T13:24:48.4735774Z	TrialController	Event Waved
2018-04-10T13:24:48.4790861Z	ElementsAgencyTrial	Entering state Interval
2018-04-10T13:24:48.4820907Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T13:24:48.9698247Z	WaveController	Started
2018-04-10T13:24:49.2198938Z	WaveController	Entering state Initial
2018-04-10T13:24:51.2314225Z	WaveController	Initial Target Waved
2018-04-10T13:24:51.2344268Z	WaveController	Entering state Delay
2018-04-10T13:24:51.7233010Z	WaveController	Entering state Target
2018-04-10T13:24:51.7273083Z	WaveController	Light: 0
2018-04-10T13:24:52.7069195Z	WaveController	Waved incorrectly
2018-04-10T13:24:52.7109254Z	WaveController	Time in wave: 3 was 0.9788074
2018-04-10T13:24:52.7144329Z	WaveController	Entering state Feedback
2018-04-10T13:24:54.2183951Z	WaveController	Entering state End
2018-04-10T13:24:54.2223961Z	TrialController	Event Waved
2018-04-10T13:24:54.2273938Z	ElementsAgencyTrial	Entering state Interval
2018-04-10T13:24:54.2303987Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T13:24:54.7188882Z	WaveController	Started
2018-04-10T13:24:54.9691969Z	WaveController	Entering state Initial
2018-04-10T13:24:55.4983598Z	WaveController	Initial Target Waved
2018-04-10T13:24:55.5018642Z	WaveController	Entering state Delay
2018-04-10T13:24:55.9833903Z	WaveController	Entering state Target
2018-04-10T13:24:55.9863947Z	WaveController	Light: 0
2018-04-10T13:24:56.7056382Z	WaveController	Probability for Wave 4: 0.3765497
2018-04-10T13:24:56.7086431Z	WaveController	Waved correctly
2018-04-10T13:24:56.7131496Z	WaveController	Time in wave: 4 was 0.71875
2018-04-10T13:24:56.7161662Z	WaveController	Entering state Feedback
2018-04-10T13:24:58.2143622Z	WaveController	Entering state End
2018-04-10T13:24:58.2183712Z	TrialController	Event Waved
2018-04-10T13:24:58.2238650Z	ElementsAgencyTrial	Entering state Interval
2018-04-10T13:24:58.2268696Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T13:24:58.7194827Z	WaveController	Started
2018-04-10T13:24:58.9715526Z	WaveController	Entering state Initial
2018-04-10T13:25:00.3159110Z	WaveController	Initial Target Waved
2018-04-10T13:25:00.3194163Z	WaveController	Entering state Delay
2018-04-10T13:25:00.8091389Z	WaveController	Entering state Target
2018-04-10T13:25:00.8131382Z	WaveController	Light: 1
2018-04-10T13:25:02.0924546Z	WaveController	Waved incorrectly
2018-04-10T13:25:02.0964608Z	WaveController	Time in wave: 5 was 1.273399
2018-04-10T13:25:02.0999663Z	WaveController	Entering state Feedback
2018-04-10T13:25:03.5959264Z	WaveController	Entering state End
2018-04-10T13:25:03.6004565Z	TrialController	Event Waved
2018-04-10T13:25:03.6049582Z	ElementsAgencyTrial	Entering state Interval
2018-04-10T13:25:03.6079509Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T13:25:04.0985657Z	WaveController	Started
2018-04-10T13:25:04.3549845Z	WaveController	Entering state Initial
2018-04-10T13:25:04.8785192Z	WaveController	Initial Target Waved
2018-04-10T13:25:04.8820245Z	WaveController	Entering state Delay
2018-04-10T13:25:05.3757663Z	WaveController	Entering state Target
2018-04-10T13:25:05.3792719Z	WaveController	Light: 1
2018-04-10T13:25:06.0061215Z	WaveController	Waved incorrectly
2018-04-10T13:25:06.0106286Z	WaveController	Time in wave: 6 was 0.6259079
2018-04-10T13:25:06.0141338Z	WaveController	Entering state Feedback
2018-04-10T13:25:07.5046218Z	WaveController	Entering state End
2018-04-10T13:25:07.5096192Z	TrialController	Event Waved
2018-04-10T13:25:07.5146278Z	ElementsAgencyTrial	Entering state Interval
2018-04-10T13:25:07.5186342Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T13:25:08.0067505Z	WaveController	Started
2018-04-10T13:25:08.2592889Z	WaveController	Entering state Initial
2018-04-10T13:25:09.5486579Z	WaveController	Initial Target Waved
2018-04-10T13:25:09.5521663Z	WaveController	Entering state Delay
2018-04-10T13:25:10.0441484Z	WaveController	Entering state Target
2018-04-10T13:25:10.0471536Z	WaveController	Light: 1
