2018-04-10T13:46:01.3064091Z	Logger	Started logging
2018-04-10T13:46:01.3214333Z	ExperimentController	Participant: adfasdqweasd
2018-04-10T13:46:01.3354546Z	ExperimentController	Hand model is female
2018-04-10T13:46:01.3675039Z	ExperimentController	Protocol file Protocol/Elements Agency Experiment/Protocol01.txt
2018-04-10T13:46:01.3890360Z	ExperimentController	Loaded 5 trials
2018-04-10T13:46:01.4040602Z	ExperimentController	Event ProtocolLoaded
2018-04-10T13:46:01.4190839Z	ExperimentController	Entering state Trial
2018-04-10T13:46:01.4361086Z	ExperimentController	Starting trial
2018-04-10T13:46:01.4536360Z	ExperimentController	Gap: Inactive
2018-04-10T13:46:01.4696604Z	ExperimentController	HandOffset: 0
2018-04-10T13:46:01.4851847Z	ExperimentController	Noise type 0
2018-04-10T13:46:01.5012093Z	ExperimentController	NoiseLevel: 0
2018-04-10T13:46:01.5252451Z	ExperimentController	Lambda: 0
2018-04-10T13:46:01.5412698Z	ExperimentController	Collision probability: 1
2018-04-10T13:46:01.5572944Z	ExperimentController	Knife PresentFalse
2018-04-10T13:46:01.5738197Z	TrialController	Started
2018-04-10T13:46:03.2564063Z	TrialController	Entering state SpecificTrial
2018-04-10T13:46:03.2619144Z	ElementsAgencyTrial	Noise type: Control
2018-04-10T13:46:03.2664215Z	ElementsAgencyTrial	Delay collision active: 0
2018-04-10T13:46:03.2709280Z	ElementsAgencyTrial	Started
2018-04-10T13:46:03.2744454Z	TrialController	Elements Agency Experiment State Machine started
2018-04-10T13:46:04.7630681Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T13:46:05.2656980Z	WaveController	Started
2018-04-10T13:46:05.5313378Z	WaveController	Entering state Initial
2018-04-10T13:46:06.6413939Z	WaveController	Initial Target Waved
2018-04-10T13:46:06.6458998Z	WaveController	Entering state Delay
2018-04-10T13:46:07.1421044Z	WaveController	Entering state Target
2018-04-10T13:46:07.1461012Z	WaveController	Light: 1
2018-04-10T13:46:08.1066188Z	WaveController	Probability for Wave 1: 0.2166046
2018-04-10T13:46:08.1096146Z	WaveController	Waved correctly
2018-04-10T13:46:08.1141142Z	WaveController	Time in wave: 1 was 0.9560814
2018-04-10T13:46:08.1176283Z	WaveController	Entering state Feedback
2018-04-10T13:46:09.6023492Z	WaveController	Entering state End
2018-04-10T13:46:09.6068742Z	TrialController	Event Waved
2018-04-10T13:46:09.6118648Z	ElementsAgencyTrial	Entering state Interval
2018-04-10T13:46:09.6153866Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T13:46:10.1051285Z	WaveController	Started
2018-04-10T13:46:10.3715883Z	WaveController	Entering state Initial
2018-04-10T13:46:10.8874787Z	WaveController	Initial Target Waved
2018-04-10T13:46:10.8919838Z	WaveController	Entering state Delay
2018-04-10T13:46:11.3839654Z	WaveController	Entering state Target
2018-04-10T13:46:11.3874712Z	WaveController	Light: 0
2018-04-10T13:46:12.1436826Z	WaveController	Probability for Wave 2: 0.168339
2018-04-10T13:46:12.1466727Z	WaveController	Waved correctly
2018-04-10T13:46:12.1511798Z	WaveController	Time in wave: 2 was 0.7542801
2018-04-10T13:46:12.1551856Z	WaveController	Entering state Feedback
2018-04-10T13:46:13.6397343Z	WaveController	Entering state End
2018-04-10T13:46:13.6442408Z	TrialController	Event Waved
2018-04-10T13:46:13.6487513Z	ElementsAgencyTrial	Entering state Interval
2018-04-10T13:46:13.6522534Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T13:46:14.1547479Z	WaveController	Started
2018-04-10T13:46:14.4089353Z	WaveController	Entering state Initial
2018-04-10T13:46:14.9252999Z	WaveController	Initial Target Waved
2018-04-10T13:46:14.9317932Z	WaveController	Entering state Delay
2018-04-10T13:46:15.4330016Z	WaveController	Entering state Target
2018-04-10T13:46:15.4364986Z	WaveController	Light: 1
2018-04-10T13:46:16.0651173Z	WaveController	Probability for Wave 3: 0.2093973
2018-04-10T13:46:16.0686237Z	WaveController	Waved correctly
2018-04-10T13:46:16.0751333Z	WaveController	Time in wave: 3 was 0.6251621
2018-04-10T13:46:16.0786383Z	WaveController	Entering state Feedback
2018-04-10T13:46:17.5610621Z	WaveController	Entering state End
2018-04-10T13:46:17.5655686Z	TrialController	Event Waved
2018-04-10T13:46:17.5705768Z	ElementsAgencyTrial	Entering state Interval
2018-04-10T13:46:17.5740815Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T13:46:18.0604449Z	WaveController	Started
2018-04-10T13:46:18.3178560Z	WaveController	Entering state Initial
2018-04-10T13:46:18.8454641Z	WaveController	Initial Target Waved
2018-04-10T13:46:18.8489597Z	WaveController	Entering state Delay
2018-04-10T13:46:19.3411206Z	WaveController	Entering state Target
2018-04-10T13:46:19.3446261Z	WaveController	Light: 1
2018-04-10T13:46:20.0822898Z	WaveController	Waved incorrectly
2018-04-10T13:46:20.0867966Z	WaveController	Time in wave: 4 was 0.7372952
2018-04-10T13:46:20.0903027Z	WaveController	Entering state Feedback
2018-04-10T13:46:21.5910363Z	WaveController	Entering state End
2018-04-10T13:46:21.5955430Z	TrialController	Event Waved
2018-04-10T13:46:21.6005408Z	ElementsAgencyTrial	Entering state Interval
2018-04-10T13:46:21.6045475Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T13:46:22.0912388Z	WaveController	Started
2018-04-10T13:46:22.3428131Z	WaveController	Entering state Initial
2018-04-10T13:46:22.8750627Z	WaveController	Initial Target Waved
2018-04-10T13:46:22.8790688Z	WaveController	Entering state Delay
2018-04-10T13:46:23.3747218Z	WaveController	Entering state Target
2018-04-10T13:46:23.3787286Z	WaveController	Light: 0
2018-04-10T13:46:24.2532665Z	WaveController	Probability for Wave 5: 0.6356959
2018-04-10T13:46:24.2567891Z	WaveController	Waved correctly
2018-04-10T13:46:24.2612871Z	WaveController	Time in wave: 5 was 0.8631878
2018-04-10T13:46:24.2652975Z	WaveController	Entering state Feedback
2018-04-10T13:46:25.7525896Z	WaveController	Entering state End
2018-04-10T13:46:25.7570969Z	TrialController	Event Waved
2018-04-10T13:46:25.7616163Z	ElementsAgencyTrial	Entering state Interval
2018-04-10T13:46:25.7651187Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T13:46:26.2551088Z	WaveController	Started
2018-04-10T13:46:26.5061416Z	WaveController	Entering state Initial
