2018-04-10T14:21:06.7249017Z	Logger	Started logging
2018-04-10T14:21:06.7384220Z	ExperimentController	Participant: always to light 0
2018-04-10T14:21:06.7504359Z	ExperimentController	Hand model is female
2018-04-10T14:21:06.7749613Z	ExperimentController	Protocol file Protocol/Elements Agency Experiment/Protocol01.txt
2018-04-10T14:21:06.7944926Z	ExperimentController	Loaded 5 trials
2018-04-10T14:21:06.8075121Z	ExperimentController	Event ProtocolLoaded
2018-04-10T14:21:06.8210338Z	ExperimentController	Entering state Trial
2018-04-10T14:21:06.8355560Z	ExperimentController	Starting trial
2018-04-10T14:21:06.8520802Z	ExperimentController	Gap: Inactive
2018-04-10T14:21:06.8671033Z	ExperimentController	HandOffset: 0
2018-04-10T14:21:06.8821264Z	ExperimentController	Noise type 0
2018-04-10T14:21:06.8971916Z	ExperimentController	NoiseLevel: 0
2018-04-10T14:21:06.9122266Z	ExperimentController	Lambda: 0
2018-04-10T14:21:06.9277507Z	ExperimentController	Collision probability: 1
2018-04-10T14:21:06.9427740Z	ExperimentController	Knife PresentFalse
2018-04-10T14:21:06.9583140Z	TrialController	Started
2018-04-10T14:21:08.6901218Z	TrialController	Entering state SpecificTrial
2018-04-10T14:21:08.6956304Z	ElementsAgencyTrial	Noise type: Control
2018-04-10T14:21:08.7001375Z	ElementsAgencyTrial	Delay collision active: 0
2018-04-10T14:21:08.7036428Z	ElementsAgencyTrial	Started
2018-04-10T14:21:08.7106436Z	TrialController	Elements Agency Experiment State Machine started
2018-04-10T14:21:10.1934454Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T14:21:10.7094474Z	WaveController	Started
2018-04-10T14:21:10.9720324Z	WaveController	Entering state Initial
2018-04-10T14:21:10.9909470Z	WaveController	Initial Target Waved
2018-04-10T14:21:10.9944531Z	WaveController	Entering state Delay
2018-04-10T14:21:11.4849538Z	WaveController	Entering state Target
2018-04-10T14:21:11.4884594Z	WaveController	Light: 1
2018-04-10T14:21:14.4033891Z	WaveController	Waved incorrectly
2018-04-10T14:21:14.4073953Z	WaveController	Time in wave: 1 was 2.909833
2018-04-10T14:21:14.4109005Z	WaveController	Entering state Feedback
2018-04-10T14:21:15.9086329Z	WaveController	Entering state End
2018-04-10T14:21:15.9131397Z	TrialController	Event Waved
2018-04-10T14:21:15.9176465Z	ElementsAgencyTrial	Entering state Interval
2018-04-10T14:21:15.9206511Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T14:21:16.4224568Z	WaveController	Started
2018-04-10T14:21:16.6878347Z	WaveController	Entering state Initial
2018-04-10T14:21:16.9727778Z	WaveController	Initial Target Waved
2018-04-10T14:21:16.9762831Z	WaveController	Entering state Delay
2018-04-10T14:21:17.4664090Z	WaveController	Entering state Target
2018-04-10T14:21:17.4694136Z	WaveController	Light: 1
2018-04-10T14:21:18.1650547Z	WaveController	Waved incorrectly
2018-04-10T14:21:18.1690606Z	WaveController	Time in wave: 2 was 0.6884422
2018-04-10T14:21:18.1725661Z	WaveController	Entering state Feedback
2018-04-10T14:21:19.6715656Z	WaveController	Entering state End
2018-04-10T14:21:19.6755715Z	TrialController	Event Waved
2018-04-10T14:21:19.6800785Z	ElementsAgencyTrial	Entering state Interval
2018-04-10T14:21:19.6830832Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T14:21:20.1852378Z	WaveController	Started
2018-04-10T14:21:20.4520877Z	WaveController	Entering state Initial
2018-04-10T14:21:20.7512237Z	WaveController	Initial Target Waved
2018-04-10T14:21:20.7547290Z	WaveController	Entering state Delay
2018-04-10T14:21:21.2455089Z	WaveController	Entering state Target
2018-04-10T14:21:21.2485136Z	WaveController	Light: 1
2018-04-10T14:21:21.9275022Z	WaveController	Waved incorrectly
2018-04-10T14:21:21.9315084Z	WaveController	Time in wave: 3 was 0.6696148
2018-04-10T14:21:21.9350139Z	WaveController	Entering state Feedback
2018-04-10T14:21:23.4156367Z	WaveController	Entering state End
2018-04-10T14:21:23.4191419Z	TrialController	Event Waved
2018-04-10T14:21:23.4236490Z	ElementsAgencyTrial	Entering state Interval
2018-04-10T14:21:23.4271548Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T14:21:23.9291023Z	WaveController	Started
2018-04-10T14:21:24.1941210Z	WaveController	Entering state Initial
2018-04-10T14:21:24.4795628Z	WaveController	Initial Target Waved
2018-04-10T14:21:24.4825691Z	WaveController	Entering state Delay
2018-04-10T14:21:24.9894525Z	WaveController	Entering state Target
2018-04-10T14:21:24.9924571Z	WaveController	Light: 0
2018-04-10T14:21:25.6216477Z	WaveController	Probability for Wave 4: 0.3391022
2018-04-10T14:21:25.6241514Z	WaveController	Waved correctly
2018-04-10T14:21:25.6281704Z	WaveController	Time in wave: 4 was 0.6255455
2018-04-10T14:21:25.6321643Z	WaveController	Entering state Feedback
2018-04-10T14:21:27.1304186Z	WaveController	Entering state End
2018-04-10T14:21:27.1354261Z	TrialController	Event Waved
2018-04-10T14:21:27.1404338Z	ElementsAgencyTrial	Entering state Interval
2018-04-10T14:21:27.1434384Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T14:21:27.6291560Z	WaveController	Started
2018-04-10T14:21:27.8945493Z	WaveController	Entering state Initial
2018-04-10T14:21:28.1785142Z	WaveController	Initial Target Waved
2018-04-10T14:21:28.1820340Z	WaveController	Entering state Delay
2018-04-10T14:21:28.6894670Z	WaveController	Entering state Target
2018-04-10T14:21:28.6929696Z	WaveController	Light: 1
2018-04-10T14:21:29.5860357Z	WaveController	Waved incorrectly
2018-04-10T14:21:29.5900461Z	WaveController	Time in wave: 5 was 0.8858604
2018-04-10T14:21:29.5940474Z	WaveController	Entering state Feedback
2018-04-10T14:21:31.0913836Z	WaveController	Entering state End
2018-04-10T14:21:31.0958907Z	TrialController	Event Waved
2018-04-10T14:21:31.0998966Z	ElementsAgencyTrial	Entering state Interval
