2018-04-10T14:41:29.5378175Z	Logger	Started logging
2018-04-10T14:41:29.5543379Z	ExperimentController	Participant: asdfadfadfadsfawegf
2018-04-10T14:41:29.5678588Z	ExperimentController	Hand model is female
2018-04-10T14:41:29.6019166Z	ExperimentController	Protocol file Protocol/Elements Agency Experiment/Protocol01.txt
2018-04-10T14:41:29.6164359Z	ExperimentController	Loaded 5 trials
2018-04-10T14:41:29.6309584Z	ExperimentController	Event ProtocolLoaded
2018-04-10T14:41:29.6484878Z	ExperimentController	Entering state Trial
2018-04-10T14:41:29.6650062Z	ExperimentController	Starting trial
2018-04-10T14:41:29.6825381Z	ExperimentController	Gap: Inactive
2018-04-10T14:41:29.6990631Z	ExperimentController	HandOffset: 0
2018-04-10T14:41:29.7156163Z	ExperimentController	Noise type 0
2018-04-10T14:41:29.7316552Z	ExperimentController	NoiseLevel: 0
2018-04-10T14:41:29.7481756Z	ExperimentController	Lambda: 0
2018-04-10T14:41:29.7647040Z	ExperimentController	Collision probability: 1
2018-04-10T14:41:29.7807292Z	ExperimentController	Knife PresentFalse
2018-04-10T14:41:29.7977545Z	TrialController	Started
2018-04-10T14:41:31.4946104Z	TrialController	Entering state SpecificTrial
2018-04-10T14:41:31.5001195Z	ElementsAgencyTrial	Noise type: Control
2018-04-10T14:41:31.5051395Z	ElementsAgencyTrial	Delay collision active: 0
2018-04-10T14:41:31.5091456Z	ElementsAgencyTrial	Started
2018-04-10T14:41:31.5131515Z	TrialController	Elements Agency Experiment State Machine started
2018-04-10T14:41:33.0101055Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T14:41:33.5235244Z	WaveController	Started
2018-04-10T14:41:33.7886630Z	WaveController	Entering state Initial
2018-04-10T14:41:34.8016380Z	WaveController	Initial Target Waved
2018-04-10T14:41:34.8051433Z	WaveController	Entering state Delay
2018-04-10T14:41:35.2978580Z	WaveController	Entering state Target
2018-04-10T14:41:35.3023648Z	WaveController	Light: 1
2018-04-10T14:41:35.9626566Z	WaveController	Time in wave: 1 was 0.6481419
2018-04-10T14:41:35.9661621Z	WaveController	Entering state Interval
2018-04-10T14:41:36.0616309Z	WaveController	Entering state Feedback
2018-04-10T14:41:36.5745141Z	WaveController	Waved incorrectly
2018-04-10T14:41:36.5908811Z	WaveController	Waved incorrectly
2018-04-10T14:41:36.6080044Z	WaveController	Waved incorrectly
2018-04-10T14:41:36.6233368Z	WaveController	Waved incorrectly
2018-04-10T14:41:36.6411167Z	WaveController	Waved incorrectly
2018-04-10T14:41:36.6601434Z	WaveController	Waved incorrectly
2018-04-10T14:41:36.6741299Z	WaveController	Waved incorrectly
2018-04-10T14:41:36.6912295Z	WaveController	Waved incorrectly
2018-04-10T14:41:36.7073100Z	WaveController	Waved incorrectly
2018-04-10T14:41:36.7203089Z	WaveController	Waved incorrectly
2018-04-10T14:41:36.7397267Z	WaveController	Waved incorrectly
2018-04-10T14:41:36.7567890Z	WaveController	Waved incorrectly
2018-04-10T14:41:36.7734458Z	WaveController	Waved incorrectly
2018-04-10T14:41:36.7897351Z	WaveController	Waved incorrectly
2018-04-10T14:41:36.8031379Z	WaveController	Waved incorrectly
2018-04-10T14:41:36.8252634Z	WaveController	Waved incorrectly
2018-04-10T14:41:36.8393593Z	WaveController	Waved incorrectly
2018-04-10T14:41:36.8590838Z	WaveController	Waved incorrectly
2018-04-10T14:41:36.8726050Z	WaveController	Waved incorrectly
2018-04-10T14:41:36.8891528Z	WaveController	Waved incorrectly
2018-04-10T14:41:36.9026732Z	WaveController	Waved incorrectly
2018-04-10T14:41:36.9219640Z	WaveController	Waved incorrectly
2018-04-10T14:41:36.9388510Z	WaveController	Waved incorrectly
2018-04-10T14:41:36.9552308Z	WaveController	Waved incorrectly
2018-04-10T14:41:36.9727249Z	WaveController	Waved incorrectly
2018-04-10T14:41:36.9903792Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.0023106Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.0223559Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.0411117Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.0551637Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.0717416Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.0883138Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.1013609Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.1209713Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.1379978Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.1540153Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.1705306Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.1873154Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.2008313Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.2205863Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.2368107Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.2535839Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.2701094Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.2837906Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.3030270Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.3202408Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.3368426Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.3535085Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.3698482Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.3834721Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.4030874Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.4196434Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.4361021Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.4544913Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.4686084Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.4820893Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.5019897Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.5185611Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.5349685Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.5515109Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.5690596Z	WaveController	Waved incorrectly
2018-04-10T14:41:37.5720645Z	WaveController	Entering state End
2018-04-10T14:41:37.5770719Z	TrialController	Event Waved
