2018-04-12T09:15:07.3499368Z	Logger	Started logging
2018-04-12T09:15:07.3639584Z	ExperimentController	Participant: asdfadsfasdf
2018-04-12T09:15:07.3769784Z	ExperimentController	Hand model is female
2018-04-12T09:15:07.4020155Z	ExperimentController	Protocol file Protocol/Elements Agency Experiment/Protocol01.txt
2018-04-12T09:15:07.4175392Z	ExperimentController	Loaded 5 trials
2018-04-12T09:15:07.4310599Z	ExperimentController	Event ProtocolLoaded
2018-04-12T09:15:07.4465839Z	ExperimentController	Entering state Trial
2018-04-12T09:15:07.4631094Z	ExperimentController	Starting trial
2018-04-12T09:15:07.4791338Z	ExperimentController	Gap: Inactive
2018-04-12T09:15:07.4956593Z	ExperimentController	HandOffset: 0
2018-04-12T09:15:07.5116840Z	ExperimentController	Noise type 0
2018-04-12T09:15:07.5272080Z	ExperimentController	NoiseLevel: 0
2018-04-12T09:15:07.5432426Z	ExperimentController	Lambda: 0
2018-04-12T09:15:07.5587561Z	ExperimentController	Collision probability: 1
2018-04-12T09:15:07.5742801Z	ExperimentController	Knife PresentFalse
2018-04-12T09:15:07.5983176Z	TrialController	Started
2018-04-12T09:15:09.3029410Z	TrialController	Entering state SpecificTrial
2018-04-12T09:15:09.3079387Z	ElementsAgencyTrial	Noise type: Control
2018-04-12T09:15:09.3129612Z	ElementsAgencyTrial	Delay collision active: 0
2018-04-12T09:15:09.3169529Z	ElementsAgencyTrial	Started
2018-04-12T09:15:09.3214702Z	TrialController	Elements Agency Experiment State Machine started
2018-04-12T09:15:10.8030171Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-12T09:15:11.3171382Z	WaveController	Started
2018-04-12T09:15:11.5686921Z	WaveController	Entering state Initial
2018-04-12T09:15:13.0464967Z	WaveController	Initial Target Waved
2018-04-12T09:15:13.0504943Z	WaveController	Entering state Delay
2018-04-12T09:15:13.5527520Z	WaveController	Entering state Target
2018-04-12T09:15:13.5562472Z	WaveController	Light: 1
2018-04-12T09:15:14.1318413Z	WaveController	Probability for Wave 1: 0.2514291
2018-04-12T09:15:14.1363424Z	WaveController	Time in wave: 1 was 0.5648432
2018-04-12T09:15:14.1398570Z	WaveController	Entering state Feedback
2018-04-12T09:15:14.6333607Z	WaveController	Waved correctly
2018-04-12T09:15:15.6332887Z	WaveController	Entering state End
2018-04-12T09:15:15.6383083Z	TrialController	Event Waved
2018-04-12T09:15:15.6433209Z	ElementsAgencyTrial	Entering state Interval
2018-04-12T09:15:15.6468187Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-12T09:15:16.1477222Z	WaveController	Started
2018-04-12T09:15:16.4139671Z	WaveController	Entering state Initial
2018-04-12T09:15:17.4913686Z	WaveController	Initial Target Waved
2018-04-12T09:15:17.4948647Z	WaveController	Entering state Delay
2018-04-12T09:15:17.9879972Z	WaveController	Entering state Target
2018-04-12T09:15:17.9915028Z	WaveController	Light: 1
2018-04-12T09:15:18.9904873Z	WaveController	Probability for Wave 2: 0.3129149
2018-04-12T09:15:18.9944934Z	WaveController	Time in wave: 2 was 0.9898262
2018-04-12T09:15:18.9984996Z	WaveController	Entering state Feedback
2018-04-12T09:15:19.4897050Z	WaveController	Waved correctly
2018-04-12T09:15:20.4896296Z	WaveController	Entering state End
2018-04-12T09:15:20.4936358Z	TrialController	Event Waved
2018-04-12T09:15:20.4981428Z	ElementsAgencyTrial	Entering state Interval
2018-04-12T09:15:20.5011472Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-12T09:15:20.5041521Z	ElementsAgencyTrial	Entering state Threat
2018-04-12T09:15:20.5091595Z	Threat	Started
2018-04-12T09:15:20.5141675Z	Threat	Entering state Falling
2018-04-12T09:15:20.8527503Z	Threat	Entering state Following
2018-04-12T09:15:23.8766393Z	ElementsAgencyTrial	Entering state End
2018-04-12T09:15:23.8836711Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:23.8951893Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:23.9067313Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:23.9177485Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:23.9282643Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:23.9392812Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:23.9507991Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:23.9618160Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:23.9733339Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:23.9863542Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:23.9978715Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.0103894Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.0209066Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.0324244Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.0434411Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.0544583Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.0649744Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.0759913Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.0870376Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.0981009Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.1091187Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.1196339Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.1326536Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.1436705Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.1536859Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.1702118Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.1812287Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.1922459Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.2027620Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.2137786Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.2247961Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.2358125Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.2463533Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.2573702Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.2683869Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.2794044Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.2899201Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.3009365Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.3114522Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.3219691Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.3329861Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.3435021Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.3540275Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.3645342Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.3750544Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.3860774Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.3970843Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.4076007Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.4176152Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.4281315Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.4391487Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.4496744Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.4601964Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.4707071Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.4812140Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:15:24.4917294Z	TrialController	Event SpecificTrialFinished
