2018-04-10T14:34:14.0719724Z	Logger	Started logging
2018-04-10T14:34:14.0864940Z	ExperimentController	Participant: asdfasdfa
2018-04-10T14:34:14.1000150Z	ExperimentController	Hand model is female
2018-04-10T14:34:14.1300612Z	ExperimentController	Protocol file Protocol/Elements Agency Experiment/Protocol01.txt
2018-04-10T14:34:14.1450848Z	ExperimentController	Loaded 5 trials
2018-04-10T14:34:14.1591058Z	ExperimentController	Event ProtocolLoaded
2018-04-10T14:34:14.1786349Z	ExperimentController	Entering state Trial
2018-04-10T14:34:14.1951601Z	ExperimentController	Starting trial
2018-04-10T14:34:14.2131884Z	ExperimentController	Gap: Inactive
2018-04-10T14:34:14.2297305Z	ExperimentController	HandOffset: 0
2018-04-10T14:34:14.2457483Z	ExperimentController	Noise type 0
2018-04-10T14:34:14.2627739Z	ExperimentController	NoiseLevel: 0
2018-04-10T14:34:14.2797913Z	ExperimentController	Lambda: 0
2018-04-10T14:34:14.2963171Z	ExperimentController	Collision probability: 1
2018-04-10T14:34:14.3128421Z	ExperimentController	Knife PresentFalse
2018-04-10T14:34:14.3298683Z	TrialController	Started
2018-04-10T14:34:16.0266936Z	TrialController	Entering state SpecificTrial
2018-04-10T14:34:16.0322023Z	ElementsAgencyTrial	Noise type: Control
2018-04-10T14:34:16.0367090Z	ElementsAgencyTrial	Delay collision active: 0
2018-04-10T14:34:16.0412167Z	ElementsAgencyTrial	Started
2018-04-10T14:34:16.0452223Z	TrialController	Elements Agency Experiment State Machine started
2018-04-10T14:34:17.5443216Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T14:34:18.0612685Z	WaveController	Started
2018-04-10T14:34:18.3232363Z	WaveController	Entering state Initial
2018-04-10T14:34:18.3398347Z	WaveController	Initial Target Waved
2018-04-10T14:34:18.3443409Z	WaveController	Entering state Delay
2018-04-10T14:34:18.8339266Z	WaveController	Entering state Target
2018-04-10T14:34:18.8374319Z	WaveController	Light: 0
2018-04-10T14:34:19.6993329Z	WaveController	Time in wave: 1 was 0.8594284
2018-04-10T14:34:19.7033345Z	WaveController	Entering state Feedback
2018-04-10T14:34:20.2088160Z	WaveController	Waved incorrectly
2018-04-10T14:34:20.2250279Z	WaveController	Waved incorrectly
2018-04-10T14:34:20.2432822Z	WaveController	Waved incorrectly
2018-04-10T14:34:20.2592080Z	WaveController	Waved incorrectly
2018-04-10T14:34:20.2748684Z	WaveController	Waved incorrectly
2018-04-10T14:34:20.2910330Z	WaveController	Waved incorrectly
2018-04-10T14:34:20.3084002Z	WaveController	Waved incorrectly
2018-04-10T14:34:20.3259301Z	WaveController	Waved incorrectly
2018-04-10T14:34:20.3417359Z	WaveController	Waved incorrectly
2018-04-10T14:34:20.3578815Z	WaveController	Waved incorrectly
2018-04-10T14:34:20.3744569Z	WaveController	Waved incorrectly
2018-04-10T14:34:20.3939970Z	WaveController	Waved incorrectly
2018-04-10T14:34:20.4075256Z	WaveController	Waved incorrectly
2018-04-10T14:34:20.4242265Z	WaveController	Waved incorrectly
2018-04-10T14:34:20.4407404Z	WaveController	Waved incorrectly
2018-04-10T14:34:20.4583713Z	WaveController	Waved incorrectly
2018-04-10T14:34:20.4739941Z	WaveController	Waved incorrectly
2018-04-10T14:34:20.4900956Z	WaveController	Waved incorrectly
2018-04-10T14:34:20.5073774Z	WaveController	Waved incorrectly
2018-04-10T14:34:20.5237999Z	WaveController	Waved incorrectly
2018-04-10T14:34:20.5402529Z	WaveController	Waved incorrectly
2018-04-10T14:34:20.5564744Z	WaveController	Waved incorrectly
2018-04-10T14:34:20.5730273Z	WaveController	Waved incorrectly
2018-04-10T14:34:20.5894274Z	WaveController	Waved incorrectly
2018-04-10T14:34:20.6133775Z	WaveController	Waved incorrectly
