2018-04-12T09:15:49.2343803Z	Logger	Started logging
2018-04-12T09:15:49.2489020Z	ExperimentController	Participant: atastasd
2018-04-12T09:15:49.2619217Z	ExperimentController	Hand model is female
2018-04-12T09:15:49.2875075Z	ExperimentController	Protocol file Protocol/Elements Agency Experiment/Protocol01.txt
2018-04-12T09:15:49.3015274Z	ExperimentController	Loaded 5 trials
2018-04-12T09:15:49.3150480Z	ExperimentController	Event ProtocolLoaded
2018-04-12T09:15:49.3290960Z	ExperimentController	Entering state Trial
2018-04-12T09:15:49.3501426Z	ExperimentController	Starting trial
2018-04-12T09:15:49.3670595Z	ExperimentController	Gap: Inactive
2018-04-12T09:15:49.3845860Z	ExperimentController	HandOffset: 0
2018-04-12T09:15:49.4006107Z	ExperimentController	Noise type 0
2018-04-12T09:15:49.4171359Z	ExperimentController	NoiseLevel: 0
2018-04-12T09:15:49.4326596Z	ExperimentController	Lambda: 0
2018-04-12T09:15:49.4482198Z	ExperimentController	Collision probability: 1
2018-04-12T09:15:49.4652463Z	ExperimentController	Knife PresentFalse
2018-04-12T09:15:49.4817715Z	TrialController	Started
2018-04-12T09:15:51.1927249Z	TrialController	Entering state SpecificTrial
2018-04-12T09:15:51.1992297Z	ElementsAgencyTrial	Noise type: Control
2018-04-12T09:15:51.2037382Z	ElementsAgencyTrial	Delay collision active: 0
2018-04-12T09:15:51.2082458Z	ElementsAgencyTrial	Started
2018-04-12T09:15:51.2122511Z	TrialController	Elements Agency Experiment State Machine started
2018-04-12T09:15:52.7085129Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-12T09:15:53.2097699Z	WaveController	Started
2018-04-12T09:15:53.4619277Z	WaveController	Entering state Initial
2018-04-12T09:15:54.9550722Z	WaveController	Initial Target Waved
2018-04-12T09:15:54.9590778Z	WaveController	Entering state Delay
2018-04-12T09:15:55.4525493Z	WaveController	Entering state Target
2018-04-12T09:15:55.4560540Z	WaveController	Light: 0
2018-04-12T09:15:55.9925182Z	WaveController	Probability for Wave 1: 0.1308082
2018-04-12T09:15:55.9990281Z	WaveController	Time in wave: 1 was 0.5351048
2018-04-12T09:15:56.0095564Z	WaveController	Entering state Feedback
2018-04-12T09:15:56.4886147Z	WaveController	Waved correctly
2018-04-12T09:15:57.4904988Z	WaveController	Entering state End
2018-04-12T09:15:57.4949931Z	TrialController	Event Waved
2018-04-12T09:15:57.5000010Z	ElementsAgencyTrial	Entering state Interval
2018-04-12T09:15:57.5030057Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-12T09:15:58.0051367Z	WaveController	Started
2018-04-12T09:15:58.2698193Z	WaveController	Entering state Initial
2018-04-12T09:15:59.1345047Z	WaveController	Initial Target Waved
2018-04-12T09:15:59.1380105Z	WaveController	Entering state Delay
2018-04-12T09:15:59.6314279Z	WaveController	Entering state Target
2018-04-12T09:15:59.6349332Z	WaveController	Light: 0
2018-04-12T09:16:00.2388180Z	WaveController	Probability for Wave 2: 0.0531143
2018-04-12T09:16:00.2428241Z	WaveController	Time in wave: 2 was 0.595397
2018-04-12T09:16:00.2468303Z	WaveController	Entering state Feedback
2018-04-12T09:16:00.7285227Z	WaveController	Waved correctly
2018-04-12T09:16:01.7401768Z	WaveController	Entering state End
2018-04-12T09:16:01.7441875Z	TrialController	Event Waved
2018-04-12T09:16:01.7491901Z	ElementsAgencyTrial	Entering state Interval
2018-04-12T09:16:01.7521831Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-12T09:16:01.7556980Z	ElementsAgencyTrial	Entering state Threat
2018-04-12T09:16:01.7602045Z	Threat	Started
2018-04-12T09:16:01.7652148Z	Threat	Entering state Falling
2018-04-12T09:16:02.1042428Z	Threat	Entering state Following
2018-04-12T09:16:05.1162128Z	ElementsAgencyTrial	Entering state End
2018-04-12T09:16:05.1237149Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.1392431Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.1507564Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.1617859Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.1728023Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.1838198Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.1948339Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.2088557Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.2198724Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.2303910Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.2419065Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.2529132Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.2719422Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.2829600Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.2934752Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.3039915Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.3145075Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.3250238Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.3360408Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.3465571Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.3575797Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.3685915Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.3796079Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.3901237Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.4006400Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.4111560Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.4216723Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.4326895Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.4442071Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.4552238Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.4657401Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.4762561Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.4872730Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.4977893Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.5088071Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.5193229Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.5303395Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.5408556Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.5518731Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.5623888Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.5729049Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.5844227Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.5954396Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.6059557Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.6164723Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.6274886Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.6380050Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.6490222Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.6595391Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.6700542Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.6810712Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.6915875Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.7021035Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.7121189Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.7236388Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.7341528Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.7446691Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.7556858Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.7652005Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.7757166Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.7862329Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.7967489Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.8087677Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.8197849Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.8303009Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.8408172Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.8508321Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.8618490Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.8718644Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.8888909Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.8999081Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.9104241Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.9209402Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.9314579Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.9439759Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.9545007Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.9650179Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.9755342Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.9865511Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:05.9975732Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:06.0080744Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:06.0190988Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:06.0296074Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:06.0401411Z	TrialController	Event SpecificTrialFinished
2018-04-12T09:16:06.0506525Z	TrialController	Event SpecificTrialFinished
