2018-04-10T15:35:24.1033051Z	Logger	Started logging
2018-04-10T15:35:24.1178178Z	ExperimentController	Participant: bbbbbbbbbbbbbbbbbbbbbbb
2018-04-10T15:35:24.1353447Z	ExperimentController	Hand model is female
2018-04-10T15:35:24.1608838Z	ExperimentController	Protocol file Protocol/Elements Agency Experiment/Protocol01.txt
2018-04-10T15:35:24.1749053Z	ExperimentController	Loaded 5 trials
2018-04-10T15:35:24.1889272Z	ExperimentController	Event ProtocolLoaded
2018-04-10T15:35:24.2019472Z	ExperimentController	Entering state Trial
2018-04-10T15:35:24.2209824Z	ExperimentController	Starting trial
2018-04-10T15:35:24.2380035Z	ExperimentController	Gap: Inactive
2018-04-10T15:35:24.2535267Z	ExperimentController	HandOffset: 0
2018-04-10T15:35:24.2700519Z	ExperimentController	Noise type 0
2018-04-10T15:35:24.2855885Z	ExperimentController	NoiseLevel: 0
2018-04-10T15:35:24.3016108Z	ExperimentController	Lambda: 0
2018-04-10T15:35:24.3231338Z	ExperimentController	Collision probability: 1
2018-04-10T15:35:24.3386573Z	ExperimentController	Knife PresentFalse
2018-04-10T15:35:24.3546816Z	TrialController	Started
2018-04-10T15:35:26.0507815Z	TrialController	Entering state SpecificTrial
2018-04-10T15:35:26.0557895Z	ElementsAgencyTrial	Noise type: Control
2018-04-10T15:35:26.0602963Z	ElementsAgencyTrial	Delay collision active: 0
2018-04-10T15:35:26.0643025Z	ElementsAgencyTrial	Started
2018-04-10T15:35:26.0678080Z	TrialController	Elements Agency Experiment State Machine started
2018-04-10T15:35:27.5640977Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T15:35:28.0804452Z	WaveController	Started
2018-04-10T15:35:28.3435833Z	WaveController	Entering state Initial
2018-04-10T15:35:28.3627933Z	WaveController	Initial Target Waved
2018-04-10T15:35:28.3662988Z	WaveController	Entering state Delay
2018-04-10T15:35:28.8557972Z	WaveController	Entering state Target
2018-04-10T15:35:28.8598039Z	WaveController	Light: 0
2018-04-10T15:35:29.4220979Z	WaveController	Probability for Wave 1: 0.4303467
2018-04-10T15:35:29.4266038Z	WaveController	Time in wave: 1 was 0.5497351
2018-04-10T15:35:29.4301094Z	WaveController	Entering state Feedback
2018-04-10T15:35:29.9188042Z	WaveController	Waved correctly
2018-04-10T15:35:30.9125150Z	WaveController	Entering state End
2018-04-10T15:35:30.9170215Z	TrialController	Event Waved
2018-04-10T15:35:30.9220340Z	ElementsAgencyTrial	Entering state Interval
2018-04-10T15:35:30.9255392Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T15:35:31.4292837Z	WaveController	Started
2018-04-10T15:35:31.6951694Z	WaveController	Entering state Initial
2018-04-10T15:35:32.6571026Z	WaveController	Initial Target Waved
2018-04-10T15:35:32.6606081Z	WaveController	Entering state Delay
2018-04-10T15:35:33.1512833Z	WaveController	Entering state Target
2018-04-10T15:35:33.1542880Z	WaveController	Light: 0
2018-04-10T15:35:34.0017328Z	WaveController	Probability for Wave 2: 0.3866962
2018-04-10T15:35:34.0062399Z	WaveController	Time in wave: 2 was 0.8347378
2018-04-10T15:35:34.0097452Z	WaveController	Entering state Feedback
2018-04-10T15:35:34.4964435Z	WaveController	Waved correctly
2018-04-10T15:35:35.4903791Z	WaveController	Entering state End
2018-04-10T15:35:35.4943849Z	TrialController	Event Waved
2018-04-10T15:35:35.4993926Z	ElementsAgencyTrial	Entering state Interval
2018-04-10T15:35:35.5028894Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T15:35:35.5059054Z	ElementsAgencyTrial	Entering state Threat
2018-04-10T15:35:35.5104013Z	Threat	Started
2018-04-10T15:35:36.0036764Z	Threat	Entering state Falling
2018-04-10T15:35:36.0202253Z	Threat	Entering state Falling
2018-04-10T15:35:36.0382363Z	Threat	Entering state Falling
2018-04-10T15:35:36.0537600Z	Threat	Entering state Falling
2018-04-10T15:35:36.0728018Z	Threat	Entering state Falling
2018-04-10T15:35:36.0894204Z	Threat	Entering state Falling
2018-04-10T15:35:36.1061842Z	Threat	Entering state Falling
2018-04-10T15:35:36.1233874Z	Threat	Entering state Falling
2018-04-10T15:35:36.1394103Z	Threat	Entering state Falling
2018-04-10T15:35:36.1564450Z	Threat	Entering state Falling
2018-04-10T15:35:36.1724830Z	Threat	Entering state Falling
2018-04-10T15:35:36.1895069Z	Threat	Entering state Falling
2018-04-10T15:35:36.2060348Z	Threat	Entering state Falling
2018-04-10T15:35:36.2220608Z	Threat	Entering state Falling
2018-04-10T15:35:36.2415913Z	Threat	Entering state Falling
2018-04-10T15:35:36.2584538Z	Threat	Entering state Falling
2018-04-10T15:35:36.2739778Z	Threat	Entering state Falling
2018-04-10T15:35:36.2905034Z	Threat	Entering state Falling
2018-04-10T15:35:36.3073827Z	Threat	Entering state Falling
2018-04-10T15:35:36.3234065Z	Threat	Entering state Falling
2018-04-10T15:35:36.3467003Z	Threat	Entering state Falling
2018-04-10T15:35:36.3612350Z	Threat	Entering state Falling
2018-04-10T15:35:36.3747432Z	Threat	Entering state Falling
2018-04-10T15:35:36.3912684Z	Threat	Entering state Falling
2018-04-10T15:35:36.4079827Z	Threat	Entering state Falling
2018-04-10T15:35:36.4243654Z	Threat	Entering state Falling
2018-04-10T15:35:36.4412020Z	Threat	Entering state Falling
2018-04-10T15:35:36.4582771Z	Threat	Entering state Falling
2018-04-10T15:35:36.4741894Z	Threat	Entering state Falling
2018-04-10T15:35:36.4907394Z	Threat	Entering state Falling
2018-04-10T15:35:36.5072479Z	Threat	Entering state Falling
2018-04-10T15:35:36.5237139Z	Threat	Entering state Falling
2018-04-10T15:35:36.5407407Z	Threat	Entering state Falling
2018-04-10T15:35:36.5612616Z	Threat	Entering state Falling
2018-04-10T15:35:36.5777664Z	Threat	Entering state Falling
2018-04-10T15:35:36.5946932Z	Threat	Entering state Falling
2018-04-10T15:35:36.6109862Z	Threat	Entering state Falling
2018-04-10T15:35:36.6277870Z	Threat	Entering state Falling
2018-04-10T15:35:36.6438370Z	Threat	Entering state Falling
2018-04-10T15:35:36.6608902Z	Threat	Entering state Falling
2018-04-10T15:35:36.6774086Z	Threat	Entering state Falling
2018-04-10T15:35:36.6941482Z	Threat	Entering state Falling
2018-04-10T15:35:36.7106829Z	Threat	Entering state Falling
2018-04-10T15:35:36.7272853Z	Threat	Entering state Falling
2018-04-10T15:35:36.7433230Z	Threat	Entering state Falling
2018-04-10T15:35:36.7606369Z	Threat	Entering state Falling
2018-04-10T15:35:36.7771559Z	Threat	Entering state Falling
2018-04-10T15:35:36.7942282Z	Threat	Entering state Falling
2018-04-10T15:35:36.8103271Z	Threat	Entering state Falling
2018-04-10T15:35:36.8263620Z	Threat	Entering state Falling
2018-04-10T15:35:36.8429377Z	Threat	Entering state Falling
2018-04-10T15:35:36.8599897Z	Threat	Entering state Falling
2018-04-10T15:35:36.8765150Z	Threat	Entering state Falling
2018-04-10T15:35:36.8936920Z	Threat	Entering state Falling
2018-04-10T15:35:36.9096754Z	Threat	Entering state Falling
2018-04-10T15:35:36.9264545Z	Threat	Entering state Falling
2018-04-10T15:35:36.9427726Z	Threat	Entering state Falling
2018-04-10T15:35:36.9590312Z	Threat	Entering state Falling
2018-04-10T15:35:36.9760725Z	Threat	Entering state Falling
2018-04-10T15:35:36.9926242Z	Threat	Entering state Falling
2018-04-10T15:35:37.0092260Z	Threat	Entering state Falling
2018-04-10T15:35:37.0252384Z	Threat	Entering state Falling
2018-04-10T15:35:37.0422643Z	Threat	Entering state Falling
2018-04-10T15:35:37.0592911Z	Threat	Entering state Falling
2018-04-10T15:35:37.0753194Z	Threat	Entering state Falling
2018-04-10T15:35:37.0918373Z	Threat	Entering state Falling
2018-04-10T15:35:37.1084115Z	Threat	Entering state Falling
2018-04-10T15:35:37.1253751Z	Threat	Entering state Falling
2018-04-10T15:35:37.1414162Z	Threat	Entering state Falling
2018-04-10T15:35:37.1582702Z	Threat	Entering state Falling
2018-04-10T15:35:37.1747935Z	Threat	Entering state Falling
2018-04-10T15:35:37.1913874Z	Threat	Entering state Falling
2018-04-10T15:35:37.2079123Z	Threat	Entering state Falling
2018-04-10T15:35:37.2243036Z	Threat	Entering state Falling
2018-04-10T15:35:37.2413078Z	Threat	Entering state Falling
2018-04-10T15:35:37.2578046Z	Threat	Entering state Falling
2018-04-10T15:35:37.2743068Z	Threat	Entering state Falling
2018-04-10T15:35:37.2908762Z	Threat	Entering state Falling
2018-04-10T15:35:37.3069532Z	Threat	Entering state Falling
2018-04-10T15:35:37.3235448Z	Threat	Entering state Falling
2018-04-10T15:35:37.3403647Z	Threat	Entering state Falling
2018-04-10T15:35:37.3573362Z	Threat	Entering state Falling
2018-04-10T15:35:37.3731872Z	Threat	Entering state Falling
