2018-04-10T14:46:42.5407885Z	Logger	Started logging
2018-04-10T14:46:42.5548277Z	ExperimentController	Participant: changes givefeedback always to 0
2018-04-10T14:46:42.5678409Z	ExperimentController	Hand model is female
2018-04-10T14:46:42.5933701Z	ExperimentController	Protocol file Protocol/Elements Agency Experiment/Protocol01.txt
2018-04-10T14:46:42.6079022Z	ExperimentController	Loaded 5 trials
2018-04-10T14:46:42.6214297Z	ExperimentController	Event ProtocolLoaded
2018-04-10T14:46:42.6369375Z	ExperimentController	Entering state Trial
2018-04-10T14:46:42.6519720Z	ExperimentController	Starting trial
2018-04-10T14:46:42.6685021Z	ExperimentController	Gap: Inactive
2018-04-10T14:46:42.6840258Z	ExperimentController	HandOffset: 0
2018-04-10T14:46:42.7000462Z	ExperimentController	Noise type 0
2018-04-10T14:46:42.7165686Z	ExperimentController	NoiseLevel: 0
2018-04-10T14:46:42.7320909Z	ExperimentController	Lambda: 0
2018-04-10T14:46:42.7481184Z	ExperimentController	Collision probability: 1
2018-04-10T14:46:42.7641433Z	ExperimentController	Knife PresentFalse
2018-04-10T14:46:42.7801674Z	TrialController	Started
2018-04-10T14:46:44.4764696Z	TrialController	Entering state SpecificTrial
2018-04-10T14:46:44.4814771Z	ElementsAgencyTrial	Noise type: Control
2018-04-10T14:46:44.4859841Z	ElementsAgencyTrial	Delay collision active: 0
2018-04-10T14:46:44.4894894Z	ElementsAgencyTrial	Started
2018-04-10T14:46:44.4930040Z	TrialController	Elements Agency Experiment State Machine started
2018-04-10T14:46:45.9896031Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T14:46:46.5025467Z	WaveController	Started
2018-04-10T14:46:46.7683450Z	WaveController	Entering state Initial
2018-04-10T14:46:47.9477840Z	WaveController	Initial Target Waved
2018-04-10T14:46:47.9512890Z	WaveController	Entering state Delay
2018-04-10T14:46:48.4414251Z	WaveController	Entering state Target
2018-04-10T14:46:48.4454316Z	WaveController	Light: 0
2018-04-10T14:46:49.1740205Z	WaveController	Time in wave: 1 was 0.7265453
2018-04-10T14:46:49.1775257Z	WaveController	Entering state Interval
2018-04-10T14:46:49.2725468Z	WaveController	Entering state Feedback
2018-04-10T14:46:49.7864043Z	WaveController	Waved incorrectly
2018-04-10T14:46:50.7800074Z	WaveController	Entering state End
2018-04-10T14:46:50.7845145Z	TrialController	Event Waved
2018-04-10T14:46:50.7895225Z	ElementsAgencyTrial	Entering state Interval
2018-04-10T14:46:50.7930277Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T14:46:51.2957058Z	WaveController	Started
2018-04-10T14:46:51.5603463Z	WaveController	Entering state Initial
2018-04-10T14:46:52.5407094Z	WaveController	Initial Target Waved
2018-04-10T14:46:52.5447155Z	WaveController	Entering state Delay
2018-04-10T14:46:53.0347028Z	WaveController	Entering state Target
2018-04-10T14:46:53.0387087Z	WaveController	Light: 1
2018-04-10T14:46:54.9274959Z	WaveController	Time in wave: 2 was 1.872789
2018-04-10T14:46:54.9310012Z	WaveController	Entering state Interval
2018-04-10T14:46:55.0260402Z	WaveController	Entering state Feedback
2018-04-10T14:46:55.5456041Z	WaveController	Waved incorrectly
2018-04-10T14:46:56.5329575Z	WaveController	Entering state End
2018-04-10T14:46:56.5369639Z	TrialController	Event Waved
2018-04-10T14:46:56.5419713Z	ElementsAgencyTrial	Entering state Interval
2018-04-10T14:46:56.5454771Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T14:46:57.0306036Z	WaveController	Started
2018-04-10T14:46:57.2958794Z	WaveController	Entering state Initial
