2018-04-10T14:31:11.6872251Z	Logger	Started logging
2018-04-10T14:31:11.7007454Z	ExperimentController	Participant: daddfadfad
2018-04-10T14:31:11.7137660Z	ExperimentController	Hand model is female
2018-04-10T14:31:11.7388040Z	ExperimentController	Protocol file Protocol/Elements Agency Experiment/Protocol01.txt
2018-04-10T14:31:11.7523246Z	ExperimentController	Loaded 5 trials
2018-04-10T14:31:11.7658458Z	ExperimentController	Event ProtocolLoaded
2018-04-10T14:31:11.7788656Z	ExperimentController	Entering state Trial
2018-04-10T14:31:11.7953911Z	ExperimentController	Starting trial
2018-04-10T14:31:11.8119170Z	ExperimentController	Gap: Inactive
2018-04-10T14:31:11.8269395Z	ExperimentController	HandOffset: 0
2018-04-10T14:31:11.8419626Z	ExperimentController	Noise type 0
2018-04-10T14:31:11.8570287Z	ExperimentController	NoiseLevel: 0
2018-04-10T14:31:11.8720518Z	ExperimentController	Lambda: 0
2018-04-10T14:31:11.8866135Z	ExperimentController	Collision probability: 1
2018-04-10T14:31:11.9021375Z	ExperimentController	Knife PresentFalse
2018-04-10T14:31:11.9176615Z	TrialController	Started
2018-04-10T14:31:13.6466438Z	TrialController	Entering state SpecificTrial
2018-04-10T14:31:13.6511506Z	ElementsAgencyTrial	Noise type: Control
2018-04-10T14:31:13.6556576Z	ElementsAgencyTrial	Delay collision active: 0
2018-04-10T14:31:13.6591632Z	ElementsAgencyTrial	Started
2018-04-10T14:31:13.6631693Z	TrialController	Elements Agency Experiment State Machine started
2018-04-10T14:31:15.1603931Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T14:31:15.6729488Z	WaveController	Started
2018-04-10T14:31:15.9383487Z	WaveController	Entering state Initial
2018-04-10T14:31:17.7633020Z	WaveController	Initial Target Waved
2018-04-10T14:31:17.7668081Z	WaveController	Entering state Delay
2018-04-10T14:31:18.2569610Z	WaveController	Entering state Target
2018-04-10T14:31:18.2604663Z	WaveController	Light: 0
2018-04-10T14:31:18.9400959Z	WaveController	Time in wave: 1 was 0.6677361
2018-04-10T14:31:18.9436011Z	WaveController	Entering state Feedback
2018-04-10T14:31:19.4337020Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.4505864Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.4665359Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.4831230Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.4996664Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.5160790Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.5350650Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.5494856Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.5666125Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.5824109Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.5999442Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.6164707Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.6319944Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.6485196Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.6655461Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.6815705Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.6985966Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.7151222Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.7316475Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.7485558Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.7649314Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.7820193Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.7982025Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.8146484Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.8307911Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.8477464Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.8638821Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.8810301Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.8973669Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.9138555Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.9303517Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.9469515Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.9641377Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.9807711Z	WaveController	Waved incorrectly
2018-04-10T14:31:19.9977449Z	WaveController	Waved incorrectly
2018-04-10T14:31:20.0142409Z	WaveController	Waved incorrectly
2018-04-10T14:31:20.0299285Z	WaveController	Waved incorrectly
2018-04-10T14:31:20.0465429Z	WaveController	Waved incorrectly
2018-04-10T14:31:20.0629600Z	WaveController	Waved incorrectly
2018-04-10T14:31:20.0798032Z	WaveController	Waved incorrectly
2018-04-10T14:31:20.0958036Z	WaveController	Waved incorrectly
2018-04-10T14:31:20.1128508Z	WaveController	Waved incorrectly
2018-04-10T14:31:20.1312901Z	WaveController	Waved incorrectly
2018-04-10T14:31:20.1458038Z	WaveController	Waved incorrectly
2018-04-10T14:31:20.1626282Z	WaveController	Waved incorrectly
2018-04-10T14:31:20.1799341Z	WaveController	Waved incorrectly
2018-04-10T14:31:20.1952942Z	WaveController	Waved incorrectly
2018-04-10T14:31:20.2123352Z	WaveController	Waved incorrectly
2018-04-10T14:31:20.2285676Z	WaveController	Waved incorrectly
2018-04-10T14:31:20.2453333Z	WaveController	Waved incorrectly
2018-04-10T14:31:20.2614997Z	WaveController	Waved incorrectly
2018-04-10T14:31:20.2784542Z	WaveController	Waved incorrectly
