2018-04-10T14:33:30.5641879Z	Logger	Started logging
2018-04-10T14:33:30.5802117Z	ExperimentController	Participant: fgdfg
2018-04-10T14:33:30.5922299Z	ExperimentController	Hand model is female
2018-04-10T14:33:30.6167846Z	ExperimentController	Protocol file Protocol/Elements Agency Experiment/Protocol01.txt
2018-04-10T14:33:30.6312900Z	ExperimentController	Loaded 5 trials
2018-04-10T14:33:30.6504282Z	ExperimentController	Event ProtocolLoaded
2018-04-10T14:33:30.6639512Z	ExperimentController	Entering state Trial
2018-04-10T14:33:30.6789720Z	ExperimentController	Starting trial
2018-04-10T14:33:30.6949966Z	ExperimentController	Gap: Inactive
2018-04-10T14:33:30.7105195Z	ExperimentController	HandOffset: 0
2018-04-10T14:33:30.7260444Z	ExperimentController	Noise type 0
2018-04-10T14:33:30.7415681Z	ExperimentController	NoiseLevel: 0
2018-04-10T14:33:30.7570921Z	ExperimentController	Lambda: 0
2018-04-10T14:33:30.7721522Z	ExperimentController	Collision probability: 1
2018-04-10T14:33:30.7877192Z	ExperimentController	Knife PresentFalse
2018-04-10T14:33:30.8037438Z	TrialController	Started
2018-04-10T14:33:32.5165048Z	TrialController	Entering state SpecificTrial
2018-04-10T14:33:32.5215125Z	ElementsAgencyTrial	Noise type: Control
2018-04-10T14:33:32.5265202Z	ElementsAgencyTrial	Delay collision active: 0
2018-04-10T14:33:32.5300254Z	ElementsAgencyTrial	Started
2018-04-10T14:33:32.5340322Z	TrialController	Elements Agency Experiment State Machine started
2018-04-10T14:33:34.0310220Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T14:33:34.5436320Z	WaveController	Started
2018-04-10T14:33:34.8113119Z	WaveController	Entering state Initial
2018-04-10T14:33:36.2538864Z	WaveController	Initial Target Waved
2018-04-10T14:33:36.2573919Z	WaveController	Entering state Delay
2018-04-10T14:33:36.7477470Z	WaveController	Entering state Target
2018-04-10T14:33:36.7517531Z	WaveController	Light: 1
2018-04-10T14:33:39.7516410Z	WaveController	Time in wave: 1 was 3.002667
2018-04-10T14:33:39.7546456Z	WaveController	Entering state Feedback
2018-04-10T14:33:40.2641821Z	WaveController	Waved Late
2018-04-10T14:33:40.2809727Z	WaveController	Waved Late
2018-04-10T14:33:40.2975571Z	WaveController	Waved Late
2018-04-10T14:33:40.3140591Z	WaveController	Waved Late
2018-04-10T14:33:40.3307042Z	WaveController	Waved Late
2018-04-10T14:33:40.3474130Z	WaveController	Waved Late
2018-04-10T14:33:40.3639434Z	WaveController	Waved Late
2018-04-10T14:33:40.3804277Z	WaveController	Waved Late
2018-04-10T14:33:40.3966686Z	WaveController	Waved Late
2018-04-10T14:33:40.4136544Z	WaveController	Waved Late
2018-04-10T14:33:40.4301697Z	WaveController	Waved Late
2018-04-10T14:33:40.4471925Z	WaveController	Waved Late
2018-04-10T14:33:40.4628289Z	WaveController	Waved Late
2018-04-10T14:33:40.4799601Z	WaveController	Waved Late
2018-04-10T14:33:40.4960471Z	WaveController	Waved Late
2018-04-10T14:33:40.5125718Z	WaveController	Waved Late
2018-04-10T14:33:40.5296270Z	WaveController	Waved Late
2018-04-10T14:33:40.5461613Z	WaveController	Waved Late
2018-04-10T14:33:40.5621695Z	WaveController	Waved Late
2018-04-10T14:33:40.5786945Z	WaveController	Waved Late
2018-04-10T14:33:40.5948970Z	WaveController	Waved Late
2018-04-10T14:33:40.6124594Z	WaveController	Waved Late
2018-04-10T14:33:40.6287125Z	WaveController	Waved Late
2018-04-10T14:33:40.6452253Z	WaveController	Waved Late
2018-04-10T14:33:40.6615761Z	WaveController	Waved Late
2018-04-10T14:33:40.6783717Z	WaveController	Waved Late
2018-04-10T14:33:40.6943520Z	WaveController	Waved Late
2018-04-10T14:33:40.7114166Z	WaveController	Waved Late
2018-04-10T14:33:40.7288851Z	WaveController	Waved Late
2018-04-10T14:33:40.7446521Z	WaveController	Waved Late
2018-04-10T14:33:40.7607940Z	WaveController	Waved Late
2018-04-10T14:33:40.7780174Z	WaveController	Waved Late
2018-04-10T14:33:40.7945427Z	WaveController	Waved Late
2018-04-10T14:33:40.8110691Z	WaveController	Waved Late
2018-04-10T14:33:40.8275938Z	WaveController	Waved Late
2018-04-10T14:33:40.8441196Z	WaveController	Waved Late
2018-04-10T14:33:40.8606446Z	WaveController	Waved Late
2018-04-10T14:33:40.8771693Z	WaveController	Waved Late
2018-04-10T14:33:40.8931940Z	WaveController	Waved Late
2018-04-10T14:33:40.9102774Z	WaveController	Waved Late
2018-04-10T14:33:40.9274000Z	WaveController	Waved Late
2018-04-10T14:33:40.9436438Z	WaveController	Waved Late
2018-04-10T14:33:40.9598614Z	WaveController	Waved Late
2018-04-10T14:33:40.9769018Z	WaveController	Waved Late
2018-04-10T14:33:40.9930673Z	WaveController	Waved Late
2018-04-10T14:33:41.0101968Z	WaveController	Waved Late
2018-04-10T14:33:41.0264688Z	WaveController	Waved Late
2018-04-10T14:33:41.0433194Z	WaveController	Waved Late
2018-04-10T14:33:41.0595253Z	WaveController	Waved Late
2018-04-10T14:33:41.0755317Z	WaveController	Waved Late
2018-04-10T14:33:41.0925958Z	WaveController	Waved Late
2018-04-10T14:33:41.1091928Z	WaveController	Waved Late
2018-04-10T14:33:41.1267867Z	WaveController	Waved Late
2018-04-10T14:33:41.1448136Z	WaveController	Waved Late
2018-04-10T14:33:41.1592368Z	WaveController	Waved Late
2018-04-10T14:33:41.1754071Z	WaveController	Waved Late
2018-04-10T14:33:41.1924492Z	WaveController	Waved Late
2018-04-10T14:33:41.2085726Z	WaveController	Waved Late
2018-04-10T14:33:41.2256199Z	WaveController	Waved Late
2018-04-10T14:33:41.2417888Z	WaveController	Waved Late
2018-04-10T14:33:41.2583448Z	WaveController	Waved Late
2018-04-10T14:33:41.2618509Z	WaveController	Entering state End
2018-04-10T14:33:41.2663574Z	TrialController	Event Waved
2018-04-10T14:33:41.2713651Z	ElementsAgencyTrial	Entering state Interval
2018-04-10T14:33:41.2748704Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T14:33:41.7610169Z	WaveController	Started
2018-04-10T14:33:42.0259938Z	WaveController	Entering state Initial
2018-04-10T14:33:42.3107647Z	WaveController	Initial Target Waved
2018-04-10T14:33:42.3147706Z	WaveController	Entering state Delay
2018-04-10T14:33:42.8042243Z	WaveController	Entering state Target
2018-04-10T14:33:42.8082301Z	WaveController	Light: 0
2018-04-10T14:33:44.3818186Z	WaveController	Probability for Wave 2: 0.4013085
2018-04-10T14:33:44.3858247Z	WaveController	Time in wave: 2 was 1.571768
2018-04-10T14:33:44.3898309Z	WaveController	Entering state Feedback
2018-04-10T14:33:44.8806760Z	WaveController	Waved correctly
2018-04-10T14:33:44.8939248Z	WaveController	Waved correctly
2018-04-10T14:33:44.9190778Z	WaveController	Waved correctly
2018-04-10T14:33:44.9301089Z	WaveController	Waved correctly
2018-04-10T14:33:44.9464583Z	WaveController	Waved correctly
2018-04-10T14:33:44.9629853Z	WaveController	Waved correctly
2018-04-10T14:33:44.9808041Z	WaveController	Waved correctly
2018-04-10T14:33:44.9938238Z	WaveController	Waved correctly
2018-04-10T14:33:45.0156016Z	WaveController	Waved correctly
2018-04-10T14:33:45.0296237Z	WaveController	Waved correctly
2018-04-10T14:33:45.0461487Z	WaveController	Waved correctly
2018-04-10T14:33:45.0626759Z	WaveController	Waved correctly
2018-04-10T14:33:45.0797001Z	WaveController	Waved correctly
2018-04-10T14:33:45.0937220Z	WaveController	Waved correctly
2018-04-10T14:33:45.1125315Z	WaveController	Waved correctly
2018-04-10T14:33:45.1300597Z	WaveController	Waved correctly
2018-04-10T14:33:45.1450828Z	WaveController	Waved correctly
2018-04-10T14:33:45.1618395Z	WaveController	Waved correctly
2018-04-10T14:33:45.1760930Z	WaveController	Waved correctly
2018-04-10T14:33:45.1952282Z	WaveController	Waved correctly
2018-04-10T14:33:45.2120565Z	WaveController	Waved correctly
2018-04-10T14:33:45.2281179Z	WaveController	Waved correctly
2018-04-10T14:33:45.2445589Z	WaveController	Waved correctly
2018-04-10T14:33:45.2612814Z	WaveController	Waved correctly
2018-04-10T14:33:45.2751040Z	WaveController	Waved correctly
2018-04-10T14:33:45.2946188Z	WaveController	Waved correctly
2018-04-10T14:33:45.3116450Z	WaveController	Waved correctly
2018-04-10T14:33:45.3281706Z	WaveController	Waved correctly
2018-04-10T14:33:45.3441955Z	WaveController	Waved correctly
2018-04-10T14:33:45.3607222Z	WaveController	Waved correctly
2018-04-10T14:33:45.3742568Z	WaveController	Waved correctly
2018-04-10T14:33:45.3942876Z	WaveController	Waved correctly
2018-04-10T14:33:45.4108103Z	WaveController	Waved correctly
2018-04-10T14:33:45.4273404Z	WaveController	Waved correctly
2018-04-10T14:33:45.4435537Z	WaveController	Waved correctly
2018-04-10T14:33:45.4601214Z	WaveController	Waved correctly
2018-04-10T14:33:45.4736864Z	WaveController	Waved correctly
2018-04-10T14:33:45.4940286Z	WaveController	Waved correctly
2018-04-10T14:33:45.5103347Z	WaveController	Waved correctly
2018-04-10T14:33:45.5265324Z	WaveController	Waved correctly
2018-04-10T14:33:45.5425548Z	WaveController	Waved correctly
2018-04-10T14:33:45.5591930Z	WaveController	Waved correctly
2018-04-10T14:33:45.5735963Z	WaveController	Waved correctly
2018-04-10T14:33:45.5929887Z	WaveController	Waved correctly
2018-04-10T14:33:45.6092954Z	WaveController	Waved correctly
2018-04-10T14:33:45.6258813Z	WaveController	Waved correctly
2018-04-10T14:33:45.6422591Z	WaveController	Waved correctly
2018-04-10T14:33:45.6591188Z	WaveController	Waved correctly
2018-04-10T14:33:45.6721379Z	WaveController	Waved correctly
2018-04-10T14:33:45.6924502Z	WaveController	Waved correctly
2018-04-10T14:33:45.7087000Z	WaveController	Waved correctly
2018-04-10T14:33:45.7257171Z	WaveController	Waved correctly
2018-04-10T14:33:45.7418072Z	WaveController	Waved correctly
2018-04-10T14:33:45.7553298Z	WaveController	Waved correctly
2018-04-10T14:33:45.7753580Z	WaveController	Waved correctly
2018-04-10T14:33:45.7920538Z	WaveController	Waved correctly
2018-04-10T14:33:45.8081359Z	WaveController	Waved correctly
2018-04-10T14:33:45.8246623Z	WaveController	Waved correctly
2018-04-10T14:33:45.8410424Z	WaveController	Waved correctly
2018-04-10T14:33:45.8547191Z	WaveController	Waved correctly
2018-04-10T14:33:45.8744934Z	WaveController	Waved correctly
2018-04-10T14:33:45.8912452Z	WaveController	Waved correctly
2018-04-10T14:33:45.8937655Z	WaveController	Entering state End
2018-04-10T14:33:45.8982557Z	TrialController	Event Waved
2018-04-10T14:33:45.9032637Z	ElementsAgencyTrial	Entering state Interval
2018-04-10T14:33:45.9072699Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T14:33:46.3930319Z	WaveController	Started
2018-04-10T14:33:46.6616515Z	WaveController	Entering state Initial
2018-04-10T14:33:46.9426226Z	WaveController	Initial Target Waved
2018-04-10T14:33:46.9471394Z	WaveController	Entering state Delay
