2018-04-10T14:38:52.4533346Z	Logger	Started logging
2018-04-10T14:38:52.4683571Z	ExperimentController	Participant: newstateitnerval
2018-04-10T14:38:52.4813772Z	ExperimentController	Hand model is female
2018-04-10T14:38:52.5094513Z	ExperimentController	Protocol file Protocol/Elements Agency Experiment/Protocol01.txt
2018-04-10T14:38:52.5234723Z	ExperimentController	Loaded 5 trials
2018-04-10T14:38:52.5408232Z	ExperimentController	Event ProtocolLoaded
2018-04-10T14:38:52.5553901Z	ExperimentController	Entering state Trial
2018-04-10T14:38:52.5724166Z	ExperimentController	Starting trial
2018-04-10T14:38:52.6114772Z	ExperimentController	Gap: Inactive
2018-04-10T14:38:52.6275015Z	ExperimentController	HandOffset: 0
2018-04-10T14:38:52.6440274Z	ExperimentController	Noise type 0
2018-04-10T14:38:52.6600517Z	ExperimentController	NoiseLevel: 0
2018-04-10T14:38:52.6766129Z	ExperimentController	Lambda: 0
2018-04-10T14:38:52.6926366Z	ExperimentController	Collision probability: 1
2018-04-10T14:38:52.7086613Z	ExperimentController	Knife PresentFalse
2018-04-10T14:38:52.7256875Z	TrialController	Started
2018-04-10T14:38:54.4086020Z	TrialController	Entering state SpecificTrial
2018-04-10T14:38:54.4141103Z	ElementsAgencyTrial	Noise type: Control
2018-04-10T14:38:54.4191556Z	ElementsAgencyTrial	Delay collision active: 0
2018-04-10T14:38:54.4226608Z	ElementsAgencyTrial	Started
2018-04-10T14:38:54.4266670Z	TrialController	Elements Agency Experiment State Machine started
2018-04-10T14:38:55.9073726Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T14:38:56.4237842Z	WaveController	Started
2018-04-10T14:38:56.6853617Z	WaveController	Entering state Initial
2018-04-10T14:38:57.4333491Z	WaveController	Initial Target Waved
2018-04-10T14:38:57.4373552Z	WaveController	Entering state Delay
2018-04-10T14:38:57.9275198Z	WaveController	Entering state Target
2018-04-10T14:38:57.9315220Z	WaveController	Light: 1
2018-04-10T14:38:58.7091867Z	WaveController	Probability for Wave 1: 0.8416051
2018-04-10T14:38:58.7136937Z	WaveController	Time in wave: 1 was 0.7688351
2018-04-10T14:38:58.7177005Z	WaveController	Entering state Interval
2018-04-10T14:38:58.8057241Z	WaveController	Entering state Feedback
2018-04-10T14:38:59.3197393Z	WaveController	Waved correctly
2018-04-10T14:38:59.3362495Z	WaveController	Waved correctly
2018-04-10T14:38:59.3527750Z	WaveController	Waved correctly
2018-04-10T14:38:59.3703300Z	WaveController	Waved correctly
2018-04-10T14:38:59.3863882Z	WaveController	Waved correctly
2018-04-10T14:38:59.4044154Z	WaveController	Waved correctly
2018-04-10T14:38:59.4189376Z	WaveController	Waved correctly
2018-04-10T14:38:59.4354629Z	WaveController	Waved correctly
2018-04-10T14:38:59.4524888Z	WaveController	Waved correctly
2018-04-10T14:38:59.4695152Z	WaveController	Waved correctly
2018-04-10T14:38:59.4850677Z	WaveController	Waved correctly
2018-04-10T14:38:59.5018650Z	WaveController	Waved correctly
2018-04-10T14:38:59.5186544Z	WaveController	Waved correctly
2018-04-10T14:38:59.5346219Z	WaveController	Waved correctly
2018-04-10T14:38:59.5512402Z	WaveController	Waved correctly
2018-04-10T14:38:59.5675836Z	WaveController	Waved correctly
2018-04-10T14:38:59.5841089Z	WaveController	Waved correctly
2018-04-10T14:38:59.6010636Z	WaveController	Waved correctly
2018-04-10T14:38:59.6176663Z	WaveController	Waved correctly
