2018-04-10T14:29:26.9801293Z	Logger	Started logging
2018-04-10T14:29:26.9941503Z	ExperimentController	Participant: rearranged wC
2018-04-10T14:29:27.0136810Z	ExperimentController	Hand model is female
2018-04-10T14:29:27.0382183Z	ExperimentController	Protocol file Protocol/Elements Agency Experiment/Protocol01.txt
2018-04-10T14:29:27.0527584Z	ExperimentController	Loaded 5 trials
2018-04-10T14:29:27.0657608Z	ExperimentController	Event ProtocolLoaded
2018-04-10T14:29:27.0797949Z	ExperimentController	Entering state Trial
2018-04-10T14:29:27.0953232Z	ExperimentController	Starting trial
2018-04-10T14:29:27.1115798Z	ExperimentController	Gap: Inactive
2018-04-10T14:29:27.1301087Z	ExperimentController	HandOffset: 0
2018-04-10T14:29:27.1461157Z	ExperimentController	Noise type 0
2018-04-10T14:29:27.1636573Z	ExperimentController	NoiseLevel: 0
2018-04-10T14:29:27.1786753Z	ExperimentController	Lambda: 0
2018-04-10T14:29:27.1942038Z	ExperimentController	Collision probability: 1
2018-04-10T14:29:27.2092224Z	ExperimentController	Knife PresentFalse
2018-04-10T14:29:27.2252467Z	TrialController	Started
2018-04-10T14:29:28.9412235Z	TrialController	Entering state SpecificTrial
2018-04-10T14:29:28.9462315Z	ElementsAgencyTrial	Noise type: Control
2018-04-10T14:29:28.9507391Z	ElementsAgencyTrial	Delay collision active: 0
2018-04-10T14:29:28.9547453Z	ElementsAgencyTrial	Started
2018-04-10T14:29:28.9592395Z	TrialController	Elements Agency Experiment State Machine started
2018-04-10T14:29:30.4459262Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T14:29:30.9534637Z	WaveController	Started
2018-04-10T14:29:31.2182579Z	WaveController	Entering state Initial
2018-04-10T14:29:32.0883622Z	WaveController	Initial Target Waved
2018-04-10T14:29:32.0923684Z	WaveController	Entering state Delay
2018-04-10T14:29:32.5806557Z	WaveController	Entering state Target
2018-04-10T14:29:32.5841738Z	WaveController	Light: 0
2018-04-10T14:29:33.3138169Z	WaveController	Time in wave: 1 was 0.7167091
2018-04-10T14:29:33.3178114Z	WaveController	Entering state Feedback
2018-04-10T14:29:33.8067929Z	WaveController	Waved incorrectly
2018-04-10T14:29:33.8228175Z	WaveController	Waved incorrectly
2018-04-10T14:29:33.8398431Z	WaveController	Waved incorrectly
2018-04-10T14:29:33.8558683Z	WaveController	Waved incorrectly
2018-04-10T14:29:33.8728948Z	WaveController	Waved incorrectly
2018-04-10T14:29:33.8889183Z	WaveController	Waved incorrectly
2018-04-10T14:29:33.9059445Z	WaveController	Waved incorrectly
2018-04-10T14:29:33.9223778Z	WaveController	Waved incorrectly
2018-04-10T14:29:33.9388803Z	WaveController	Waved incorrectly
2018-04-10T14:29:33.9554366Z	WaveController	Waved incorrectly
2018-04-10T14:29:33.9719744Z	WaveController	Waved incorrectly
2018-04-10T14:29:33.9898200Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.0053434Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.0217807Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.0384756Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.0554341Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.0730129Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.0879976Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.1045519Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.1226087Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.1384811Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.1540051Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.1711249Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.1876126Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.2044589Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.2204989Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.2375120Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.2536675Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.2712137Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.2868240Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.3034500Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.3201935Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.3372325Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.3532683Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.3693641Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.3867175Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.4045776Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.4190998Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.4355397Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.4530659Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.4693296Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.4857049Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.5019874Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.5189177Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.5359604Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.5519987Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.5683296Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.5853330Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.6021357Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.6181763Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.6344708Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.6573630Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.6706691Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.6844268Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.7010648Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.7176416Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.7341930Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.7518098Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.7673036Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.7839254Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.8007811Z	WaveController	Waved incorrectly
2018-04-10T14:29:34.8037968Z	WaveController	Entering state End
2018-04-10T14:29:34.8082933Z	TrialController	Event Waved
2018-04-10T14:29:34.8133098Z	ElementsAgencyTrial	Entering state Interval
2018-04-10T14:29:34.8163142Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T14:29:35.3022640Z	WaveController	Started
2018-04-10T14:29:35.5668812Z	WaveController	Entering state Initial
2018-04-10T14:29:36.6154489Z	WaveController	Initial Target Waved
2018-04-10T14:29:36.6194539Z	WaveController	Entering state Delay
2018-04-10T14:29:37.1083495Z	WaveController	Entering state Target
2018-04-10T14:29:37.1123684Z	WaveController	Light: 1
2018-04-10T14:29:37.7808735Z	WaveController	Probability for Wave 2: 0.2388415
2018-04-10T14:29:37.7848768Z	WaveController	Time in wave: 2 was 0.6489849
2018-04-10T14:29:37.7883727Z	WaveController	Entering state Feedback
2018-04-10T14:29:38.2600832Z	WaveController	Waved correctly
2018-04-10T14:29:38.2759169Z	WaveController	Waved correctly
2018-04-10T14:29:38.2939978Z	WaveController	Waved correctly
2018-04-10T14:29:38.3120087Z	WaveController	Waved correctly
2018-04-10T14:29:38.3265782Z	WaveController	Waved correctly
2018-04-10T14:29:38.3426020Z	WaveController	Waved correctly
2018-04-10T14:29:38.3591275Z	WaveController	Waved correctly
2018-04-10T14:29:38.3761534Z	WaveController	Waved correctly
2018-04-10T14:29:38.3932029Z	WaveController	Waved correctly
2018-04-10T14:29:38.4087267Z	WaveController	Waved correctly
2018-04-10T14:29:38.4252522Z	WaveController	Waved correctly
2018-04-10T14:29:38.4422784Z	WaveController	Waved correctly
2018-04-10T14:29:38.4593049Z	WaveController	Waved correctly
2018-04-10T14:29:38.4746493Z	WaveController	Waved correctly
2018-04-10T14:29:38.4938729Z	WaveController	Waved correctly
2018-04-10T14:29:38.5080468Z	WaveController	Waved correctly
2018-04-10T14:29:38.5255938Z	WaveController	Waved correctly
2018-04-10T14:29:38.5414445Z	WaveController	Waved correctly
2018-04-10T14:29:38.5573744Z	WaveController	Waved correctly
2018-04-10T14:29:38.5741740Z	WaveController	Waved correctly
2018-04-10T14:29:38.5914421Z	WaveController	Waved correctly
2018-04-10T14:29:38.6094698Z	WaveController	Waved correctly
2018-04-10T14:29:38.6249936Z	WaveController	Waved correctly
2018-04-10T14:29:38.6411938Z	WaveController	Waved correctly
2018-04-10T14:29:38.6569230Z	WaveController	Waved correctly
2018-04-10T14:29:38.6736931Z	WaveController	Waved correctly
2018-04-10T14:29:38.6900772Z	WaveController	Waved correctly
2018-04-10T14:29:38.7069995Z	WaveController	Waved correctly
2018-04-10T14:29:38.7245211Z	WaveController	Waved correctly
2018-04-10T14:29:38.7398109Z	WaveController	Waved correctly
2018-04-10T14:29:38.7563217Z	WaveController	Waved correctly
2018-04-10T14:29:38.7732465Z	WaveController	Waved correctly
2018-04-10T14:29:38.7906214Z	WaveController	Waved correctly
2018-04-10T14:29:38.8069403Z	WaveController	Waved correctly
2018-04-10T14:29:38.8227870Z	WaveController	Waved correctly
2018-04-10T14:29:38.8393018Z	WaveController	Waved correctly
2018-04-10T14:29:38.8561492Z	WaveController	Waved correctly
2018-04-10T14:29:38.8724915Z	WaveController	Waved correctly
2018-04-10T14:29:38.8892923Z	WaveController	Waved correctly
2018-04-10T14:29:38.9058093Z	WaveController	Waved correctly
2018-04-10T14:29:38.9224051Z	WaveController	Waved correctly
2018-04-10T14:29:38.9388957Z	WaveController	Waved correctly
2018-04-10T14:29:38.9549445Z	WaveController	Waved correctly
2018-04-10T14:29:38.9718477Z	WaveController	Waved correctly
2018-04-10T14:29:38.9887934Z	WaveController	Waved correctly
2018-04-10T14:29:39.0054074Z	WaveController	Waved correctly
2018-04-10T14:29:39.0214859Z	WaveController	Waved correctly
2018-04-10T14:29:39.0386307Z	WaveController	Waved correctly
2018-04-10T14:29:39.0551987Z	WaveController	Waved correctly
2018-04-10T14:29:39.0715882Z	WaveController	Waved correctly
2018-04-10T14:29:39.0876225Z	WaveController	Waved correctly
2018-04-10T14:29:39.1041461Z	WaveController	Waved correctly
2018-04-10T14:29:39.1222871Z	WaveController	Waved correctly
2018-04-10T14:29:39.1378122Z	WaveController	Waved correctly
2018-04-10T14:29:39.1535881Z	WaveController	Waved correctly
2018-04-10T14:29:39.1706758Z	WaveController	Waved correctly
2018-04-10T14:29:39.1873211Z	WaveController	Waved correctly
2018-04-10T14:29:39.2048377Z	WaveController	Waved correctly
2018-04-10T14:29:39.2205658Z	WaveController	Waved correctly
2018-04-10T14:29:39.2368827Z	WaveController	Waved correctly
2018-04-10T14:29:39.2538306Z	WaveController	Waved correctly
2018-04-10T14:29:39.2702862Z	WaveController	Waved correctly
2018-04-10T14:29:39.2732908Z	WaveController	Entering state End
2018-04-10T14:29:39.2803047Z	TrialController	Event Waved
2018-04-10T14:29:39.2853093Z	ElementsAgencyTrial	Entering state Interval
2018-04-10T14:29:39.2888165Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-10T14:29:39.7738246Z	WaveController	Started
2018-04-10T14:29:40.0393260Z	WaveController	Entering state Initial
2018-04-10T14:29:41.3841546Z	WaveController	Initial Target Waved
2018-04-10T14:29:41.3876596Z	WaveController	Entering state Delay
2018-04-10T14:29:41.8780972Z	WaveController	Entering state Target
2018-04-10T14:29:41.8816027Z	WaveController	Light: 1
2018-04-10T14:29:42.9086719Z	WaveController	Probability for Wave 3: 0.8464512
2018-04-10T14:29:42.9131900Z	WaveController	Time in wave: 3 was 1.018818
2018-04-10T14:29:42.9166924Z	WaveController	Entering state Feedback
