2018-04-09T10:40:46.4352102Z	Logger	Started logging
2018-04-09T10:40:46.4502336Z	ExperimentController	Participant: teststs
2018-04-09T10:40:46.4627533Z	ExperimentController	Hand model is female
2018-04-09T10:40:46.4882918Z	ExperimentController	Protocol file Protocol/Elements Agency Experiment/Protocol01.txt
2018-04-09T10:40:46.5028297Z	ExperimentController	Loaded 6 trials
2018-04-09T10:40:46.5163366Z	ExperimentController	Event ProtocolLoaded
2018-04-09T10:40:46.5318740Z	ExperimentController	Entering state Trial
2018-04-09T10:40:46.5468920Z	ExperimentController	Starting trial
2018-04-09T10:40:46.5629064Z	ExperimentController	Gap: Inactive
2018-04-09T10:40:46.5789308Z	ExperimentController	HandOffset: 0
2018-04-09T10:40:46.5944548Z	ExperimentController	Noise type 0
2018-04-09T10:40:46.6099785Z	ExperimentController	NoiseLevel: 0
2018-04-09T10:40:46.6260034Z	ExperimentController	Lambda: 0
2018-04-09T10:40:46.6410265Z	ExperimentController	Collision probability: 1
2018-04-09T10:40:46.6560496Z	ExperimentController	Knife PresentFalse
2018-04-09T10:40:46.6730758Z	TrialController	Started
2018-04-09T10:40:48.4009569Z	TrialController	Entering state SpecificTrial
2018-04-09T10:40:48.4049631Z	ElementsAgencyTrial	Started
2018-04-09T10:40:48.4084686Z	TrialController	Elements Agency Experiment State Machine started
2018-04-09T10:40:49.9171246Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-09T10:40:50.4299199Z	WaveController	Started
2018-04-09T10:40:50.6809191Z	WaveController	Entering state Initial
2018-04-09T10:40:51.8549107Z	WaveController	Initial Target Waved
2018-04-09T10:40:51.8584162Z	WaveController	Entering state Delay
2018-04-09T10:40:52.3536904Z	WaveController	Entering state Target
2018-04-09T10:40:52.3566948Z	WaveController	Light: 1
2018-04-09T10:40:52.8508083Z	WaveController	Waved incorrectly
2018-04-09T10:40:52.8548139Z	WaveController	Time in wave: 1 was 0.4845066
2018-04-09T10:40:52.8578188Z	WaveController	Entering state Feedback
2018-04-09T10:40:54.3386138Z	WaveController	Entering state End
2018-04-09T10:40:54.3431064Z	TrialController	Event Waved
2018-04-09T10:40:54.3481283Z	ElementsAgencyTrial	Entering state Interval
2018-04-09T10:40:54.3516287Z	ElementsAgencyTrial	Entering state ExperimentWave
2018-04-09T10:40:54.8479878Z	WaveController	Started
2018-04-09T10:40:55.1038154Z	WaveController	Entering state Initial
2018-04-09T10:40:56.9645544Z	WaveController	Initial Target Waved
2018-04-09T10:40:56.9685680Z	WaveController	Entering state Delay
2018-04-09T10:40:57.4738456Z	WaveController	Entering state Target
2018-04-09T10:40:57.4768502Z	WaveController	Light: 1
2018-04-09T10:40:58.1535808Z	WaveController	Probability for Wave 2: 0.1831862
2018-04-09T10:40:58.1575875Z	WaveController	Waved correctly
2018-04-09T10:40:58.1635962Z	WaveController	Time in wave: 2 was 0.664361
