2019-05-13T12:42:04.5025486Z	Logger	Started logging
2019-05-13T12:42:04.5145487Z	ExperimentController	Participant: blah blah blah
2019-05-13T12:42:04.5225481Z	ExperimentController	Hand model is female
2019-05-13T12:42:04.5385479Z	ExperimentController	Protocol file Protocol/Visuomotor Information/Protocol01.txt
2019-05-13T12:42:04.5505483Z	ExperimentController	Loaded 4 trials
2019-05-13T12:42:04.5585599Z	ExperimentController	Event ProtocolLoaded
2019-05-13T12:42:04.5665602Z	ExperimentController	Entering state Interval
2019-05-13T12:42:05.9649857Z	ExperimentController	Event NextTrial
2019-05-13T12:42:05.9745811Z	ExperimentController	Entering state Trial
2019-05-13T12:42:05.9785824Z	ExperimentController	Starting trial
2019-05-13T12:42:05.9825826Z	ExperimentController	Gap: Inactive
2019-05-13T12:42:05.9865824Z	ExperimentController	HandOffset: 10
2019-05-13T12:42:05.9905823Z	ExperimentController	Noise type 0
2019-05-13T12:42:05.9945824Z	ExperimentController	NoiseLevel: 0
2019-05-13T12:42:05.9985840Z	ExperimentController	Lambda: 0
2019-05-13T12:42:06.0025827Z	ExperimentController	Collision probability: 1
2019-05-13T12:42:06.0065826Z	ExperimentController	Knife PresentTrue
2019-05-13T12:42:06.0145823Z	TrialController	Started
2019-05-13T12:42:07.9760728Z	TrialController	Entering state SpecificTrial
2019-05-13T12:42:07.9800709Z	VisuomotorAgency	Noise type: Control
2019-05-13T12:42:07.9840708Z	VisuomotorAgency	Delay collision active: 0
2019-05-13T12:42:07.9880721Z	VisuomotorAgency	Started
2019-05-13T12:42:07.9891470Z	TrialController	Visuomotor Information Trial started
2019-05-13T12:42:09.4836990Z	VisuomotorAgency	Entering state ExperimentWave
2019-05-13T12:42:09.9836979Z	WaveController	Started
2019-05-13T12:42:10.2455138Z	WaveController	Entering state Initial
2019-05-13T12:42:10.9635956Z	WaveController	Initial Target Waved
2019-05-13T12:42:10.9635956Z	WaveController	Entering state Delay
2019-05-13T12:42:11.4713948Z	WaveController	Entering state Target
2019-05-13T12:42:11.4753571Z	WaveController	Light: 0
2019-05-13T12:42:12.0731963Z	WaveController	Probability for Wave 0: 0
2019-05-13T12:42:12.0731963Z	WaveController	Time in wave: 0 was 0.5978184
2019-05-13T12:42:12.0771967Z	WaveController	Entering state Feedback
2019-05-13T12:42:12.5816005Z	WaveController	Waved correctly
2019-05-13T12:42:13.5778103Z	WaveController	Entering state Interval
2019-05-13T12:42:13.5817734Z	WaveController	Entering state Initial
2019-05-13T12:42:14.3255380Z	WaveController	Initial Target Waved
2019-05-13T12:42:14.3255380Z	WaveController	Entering state Delay
2019-05-13T12:42:14.8338008Z	WaveController	Entering state Target
2019-05-13T12:42:14.8377714Z	WaveController	Light: 0
2019-05-13T12:42:15.7996152Z	WaveController	Probability for Wave 1: 0
2019-05-13T12:42:15.7996152Z	WaveController	Time in wave: 1 was 0.9612904
2019-05-13T12:42:15.8036139Z	WaveController	Entering state Feedback
2019-05-13T12:42:16.3083499Z	WaveController	Waved correctly
2019-05-13T12:42:17.3054938Z	WaveController	Entering state Interval
2019-05-13T12:42:17.3094552Z	WaveController	Entering state Initial
2019-05-13T12:42:17.9373525Z	WaveController	Initial Target Waved
2019-05-13T12:42:17.9373525Z	WaveController	Entering state Delay
2019-05-13T12:42:18.4457584Z	WaveController	Entering state Target
2019-05-13T12:42:18.4497096Z	WaveController	Light: 0
2019-05-13T12:42:18.9977349Z	WaveController	Probability for Wave 2: 0
2019-05-13T12:42:18.9977349Z	WaveController	Time in wave: 2 was 0.5478077
2019-05-13T12:42:19.0017373Z	WaveController	Entering state Feedback
2019-05-13T12:42:19.5058080Z	WaveController	Waved correctly
2019-05-13T12:42:20.5012142Z	WaveController	Entering state Interval
2019-05-13T12:42:20.5051663Z	WaveController	Entering state Initial
2019-05-13T12:42:20.8329597Z	WaveController	Initial Target Waved
2019-05-13T12:42:20.8382191Z	WaveController	Entering state Delay
2019-05-13T12:42:21.3468929Z	WaveController	Entering state Target
2019-05-13T12:42:21.3508439Z	WaveController	Light: 1
2019-05-13T12:42:21.6981558Z	WaveController	Time in wave: 3 was 0.3472538
2019-05-13T12:42:21.6981558Z	WaveController	Entering state Feedback
