2019-05-13T12:35:23.9146982Z	Logger	Started logging
2019-05-13T12:35:23.9266972Z	ExperimentController	Participant: i dont think it is solved
2019-05-13T12:35:23.9346981Z	ExperimentController	Hand model is female
2019-05-13T12:35:23.9506978Z	ExperimentController	Protocol file Protocol/Visuomotor Information/Protocol01.txt
2019-05-13T12:35:23.9666972Z	ExperimentController	Loaded 4 trials
2019-05-13T12:35:23.9746972Z	ExperimentController	Event ProtocolLoaded
2019-05-13T12:35:23.9826975Z	ExperimentController	Entering state Interval
2019-05-13T12:35:25.3646067Z	ExperimentController	Event NextTrial
2019-05-13T12:35:25.3686049Z	ExperimentController	Entering state Trial
2019-05-13T12:35:25.3726050Z	ExperimentController	Starting trial
2019-05-13T12:35:25.3766046Z	ExperimentController	Gap: Inactive
2019-05-13T12:35:25.3806041Z	ExperimentController	HandOffset: 10
2019-05-13T12:35:25.3846043Z	ExperimentController	Noise type 0
2019-05-13T12:35:25.3886047Z	ExperimentController	NoiseLevel: 0
2019-05-13T12:35:25.3926043Z	ExperimentController	Lambda: 0
2019-05-13T12:35:25.4005929Z	ExperimentController	Collision probability: 1
2019-05-13T12:35:25.4046050Z	ExperimentController	Knife PresentTrue
2019-05-13T12:35:25.4086023Z	TrialController	Started
2019-05-13T12:35:27.3724659Z	TrialController	Entering state SpecificTrial
2019-05-13T12:35:27.3764407Z	VisuomotorAgency	Noise type: Control
2019-05-13T12:35:27.3804406Z	VisuomotorAgency	Delay collision active: 0
2019-05-13T12:35:27.3844407Z	VisuomotorAgency	Started
2019-05-13T12:35:27.3844407Z	TrialController	Visuomotor Information Trial started
2019-05-13T12:35:28.8791546Z	VisuomotorAgency	Entering state ExperimentWave
2019-05-13T12:35:29.3926865Z	WaveController	Started
2019-05-13T12:35:29.6588832Z	WaveController	Entering state Initial
2019-05-13T12:35:30.5584792Z	WaveController	Initial Target Waved
2019-05-13T12:35:30.5584792Z	WaveController	Entering state Delay
2019-05-13T12:35:31.0688224Z	WaveController	Entering state Target
2019-05-13T12:35:31.0727736Z	WaveController	Light: 0
2019-05-13T12:35:33.1428948Z	WaveController	Time in wave: 0 was 2.070095
2019-05-13T12:35:33.1428948Z	WaveController	Entering state Feedback
2019-05-13T12:35:33.6525824Z	WaveController	Waved incorrectly
2019-05-13T12:35:34.6464370Z	WaveController	Entering state Interval
2019-05-13T12:35:34.6504039Z	WaveController	Entering state Initial
2019-05-13T12:35:35.4123168Z	WaveController	Initial Target Waved
2019-05-13T12:35:35.4163178Z	WaveController	Entering state Delay
2019-05-13T12:35:35.9230222Z	WaveController	Entering state Target
2019-05-13T12:35:35.9309721Z	WaveController	Light: 1
2019-05-13T12:35:36.5245233Z	WaveController	Time in wave: 1 was 0.5975056
2019-05-13T12:35:36.5245233Z	WaveController	Entering state Feedback
2019-05-13T12:35:37.0309455Z	WaveController	Waved incorrectly
2019-05-13T12:35:38.0250709Z	WaveController	Entering state Interval
2019-05-13T12:35:38.0290318Z	WaveController	Entering state Initial
2019-05-13T12:35:38.6587156Z	WaveController	Initial Target Waved
2019-05-13T12:35:38.6587156Z	WaveController	Entering state Delay
2019-05-13T12:35:39.1687329Z	WaveController	Entering state Target
2019-05-13T12:35:39.1726847Z	WaveController	Light: 0
2019-05-13T12:35:39.8200311Z	WaveController	Probability for Wave 2: 0
2019-05-13T12:35:39.8200311Z	WaveController	Time in wave: 2 was 0.6473465
2019-05-13T12:35:39.8240415Z	WaveController	Entering state Feedback
2019-05-13T12:35:40.3280530Z	WaveController	Waved correctly
2019-05-13T12:35:41.3231256Z	WaveController	Entering state Interval
2019-05-13T12:35:41.3270763Z	WaveController	Entering state Initial
2019-05-13T12:35:41.9565019Z	WaveController	Initial Target Waved
2019-05-13T12:35:41.9565019Z	WaveController	Entering state Delay
2019-05-13T12:35:42.4641181Z	WaveController	Entering state Target
2019-05-13T12:35:42.4680796Z	WaveController	Light: 1
2019-05-13T12:35:43.1001667Z	WaveController	Time in wave: 3 was 0.6319504
2019-05-13T12:35:43.1001667Z	WaveController	Entering state Feedback
2019-05-13T12:35:43.6072773Z	WaveController	Waved incorrectly
2019-05-13T12:35:44.6007903Z	WaveController	Entering state Interval
2019-05-13T12:35:44.6047895Z	WaveController	Entering state Initial
