2019-05-15T17:31:59.1846411Z	Logger	Started logging
2019-05-15T17:31:59.1936375Z	ExperimentController	Participant: ajdflajsd
2019-05-15T17:31:59.2086337Z	ExperimentController	Hand model is female
2019-05-15T17:31:59.2246285Z	ExperimentController	Protocol file Protocol/Visuomotor Information/Protocol01.txt
2019-05-15T17:31:59.2356255Z	ExperimentController	Loaded 4 trials
2019-05-15T17:31:59.2446224Z	ExperimentController	Event ProtocolLoaded
2019-05-15T17:31:59.2536194Z	ExperimentController	Entering state Interval
2019-05-15T17:32:00.6492582Z	ExperimentController	Event NextTrial
2019-05-15T17:32:00.6543227Z	ExperimentController	Entering state Trial
2019-05-15T17:32:00.6583337Z	ExperimentController	Starting trial
2019-05-15T17:32:00.6633208Z	ExperimentController	Gap: Inactive
2019-05-15T17:32:00.6654243Z	ExperimentController	HandOffset: 10
2019-05-15T17:32:00.6694361Z	ExperimentController	Noise type 0
2019-05-15T17:32:00.6734365Z	ExperimentController	NoiseLevel: 0
2019-05-15T17:32:00.6774364Z	ExperimentController	Lambda: 0
2019-05-15T17:32:00.6821041Z	ExperimentController	Collision probability: 1
2019-05-15T17:32:00.6870620Z	ExperimentController	Knife PresentTrue
2019-05-15T17:32:00.6910604Z	TrialController	Started
2019-05-15T17:32:02.6530057Z	TrialController	Entering state SpecificTrial
2019-05-15T17:32:02.6560046Z	VisuomotorAgency	Noise type: Control
2019-05-15T17:32:02.6590035Z	VisuomotorAgency	Delay collision active: 0
2019-05-15T17:32:02.6620027Z	VisuomotorAgency	Started
2019-05-15T17:32:02.6640021Z	TrialController	Visuomotor Information Trial started
2019-05-15T17:32:04.1598122Z	VisuomotorAgency	Entering state ExperimentWave
2019-05-15T17:32:04.6740139Z	WaveController	Started
2019-05-15T17:32:04.9387284Z	WaveController	Entering state Initial
2019-05-15T17:32:05.6192248Z	WaveController	Initial Target Waved
2019-05-15T17:32:05.6222240Z	WaveController	Entering state Delay
2019-05-15T17:32:06.1315470Z	WaveController	Entering state Target
2019-05-15T17:32:06.1335463Z	WaveController	Light: 1
2019-05-15T17:32:06.6978046Z	WaveController	Time in wave: 0 was 0.5636139
2019-05-15T17:32:06.7008032Z	WaveController	Entering state Feedback
2019-05-15T17:32:06.9601829Z	WaveController	Waved incorrectly
2019-05-15T17:32:08.2017732Z	WaveController	Entering state Interval
2019-05-15T17:32:08.2047721Z	WaveController	Entering state Initial
2019-05-15T17:32:08.9889015Z	WaveController	Initial Target Waved
2019-05-15T17:32:08.9918888Z	WaveController	Entering state Delay
2019-05-15T17:32:09.4940412Z	WaveController	Entering state Target
2019-05-15T17:32:09.4970395Z	WaveController	Light: 1
2019-05-15T17:32:09.9448366Z	WaveController	Time in wave: 1 was 0.4476433
2019-05-15T17:32:09.9468362Z	WaveController	Entering state Feedback
2019-05-15T17:32:10.2066966Z	WaveController	Waved incorrectly
2019-05-15T17:32:11.4498317Z	WaveController	Entering state Interval
2019-05-15T17:32:11.4528255Z	WaveController	Entering state Initial
2019-05-15T17:32:11.7499276Z	WaveController	Initial Target Waved
2019-05-15T17:32:11.7529268Z	WaveController	Entering state Delay
2019-05-15T17:32:12.2610571Z	WaveController	Entering state Target
2019-05-15T17:32:12.2690687Z	WaveController	Light: 1
2019-05-15T17:32:12.5779992Z	WaveController	Time in wave: 2 was 0.3147659
2019-05-15T17:32:12.5809984Z	WaveController	Entering state Feedback
2019-05-15T17:32:12.8407888Z	WaveController	Waved incorrectly
2019-05-15T17:32:14.0834005Z	WaveController	Entering state Interval
2019-05-15T17:32:14.0863994Z	WaveController	Entering state Initial
2019-05-15T17:32:14.7479214Z	WaveController	Initial Target Waved
2019-05-15T17:32:14.7499216Z	WaveController	Entering state Delay
2019-05-15T17:32:15.2595540Z	WaveController	Entering state Target
2019-05-15T17:32:15.2615534Z	WaveController	Light: 1
2019-05-15T17:32:15.8250363Z	WaveController	Time in wave: 3 was 0.5635986
2019-05-15T17:32:15.8280352Z	WaveController	Entering state Feedback
2019-05-15T17:32:16.0876225Z	WaveController	Waved incorrectly
2019-05-15T17:32:17.3306583Z	WaveController	Entering state Interval
2019-05-15T17:32:17.3336615Z	WaveController	Entering state Initial
2019-05-15T17:32:18.2599779Z	WaveController	Initial Target Waved
2019-05-15T17:32:18.2619778Z	WaveController	Entering state Delay
2019-05-15T17:32:18.7721945Z	WaveController	Entering state Target
2019-05-15T17:32:18.7741938Z	WaveController	Light: 1
2019-05-15T17:32:19.2219491Z	WaveController	Time in wave: 4 was 0.4473991
2019-05-15T17:32:19.2239490Z	WaveController	Entering state Feedback
2019-05-15T17:32:19.4845925Z	WaveController	Waved incorrectly
2019-05-15T17:32:20.7268242Z	WaveController	Entering state Interval
2019-05-15T17:32:20.7298356Z	WaveController	Entering state Initial
2019-05-15T17:32:21.4082163Z	WaveController	Initial Target Waved
2019-05-15T17:32:21.4102160Z	WaveController	Entering state Delay
2019-05-15T17:32:21.9198342Z	WaveController	Entering state Target
2019-05-15T17:32:21.9218335Z	WaveController	Light: 0
2019-05-15T17:32:22.4426290Z	WaveController	Probability for Wave 5: 0
2019-05-15T17:32:22.4456282Z	WaveController	Time in wave: 5 was 0.5142097
2019-05-15T17:32:22.4486273Z	WaveController	Entering state Feedback
2019-05-15T17:32:22.6856016Z	WaveController	Waved correctly
2019-05-15T17:32:23.9444600Z	WaveController	Entering state Interval
2019-05-15T17:32:23.9474588Z	WaveController	Entering state Initial
2019-05-15T17:32:24.7418755Z	WaveController	Initial Target Waved
2019-05-15T17:32:24.7443806Z	WaveController	Entering state Delay
2019-05-15T17:32:25.2537995Z	WaveController	Entering state Target
2019-05-15T17:32:25.2557988Z	WaveController	Light: 1
2019-05-15T17:32:25.7857036Z	WaveController	Time in wave: 6 was 0.5301361
2019-05-15T17:32:25.7887025Z	WaveController	Entering state Feedback
2019-05-15T17:32:26.0483160Z	WaveController	Waved incorrectly
2019-05-15T17:32:27.2910349Z	WaveController	Entering state Interval
2019-05-15T17:32:27.2940338Z	WaveController	Entering state Initial
2019-05-15T17:32:27.7238534Z	WaveController	Initial Target Waved
2019-05-15T17:32:27.7258528Z	WaveController	Entering state Delay
2019-05-15T17:32:28.2358027Z	WaveController	Entering state Target
2019-05-15T17:32:28.2378020Z	WaveController	Light: 0
2019-05-15T17:32:29.0651110Z	WaveController	Probability for Wave 7: 0
2019-05-15T17:32:29.0681108Z	WaveController	Time in wave: 7 was 0.828331
