2019-05-15T18:05:43.9179449Z	Logger	Started logging
2019-05-15T18:05:43.9279420Z	ExperimentController	Participant: dfadsfadf
2019-05-15T18:05:43.9369387Z	ExperimentController	Hand model is female
2019-05-15T18:05:43.9549340Z	ExperimentController	Protocol file Protocol/Visuomotor Information/Protocol01.txt
2019-05-15T18:05:43.9649300Z	ExperimentController	Loaded 4 trials
2019-05-15T18:05:43.9749265Z	ExperimentController	Event ProtocolLoaded
2019-05-15T18:05:43.9839235Z	ExperimentController	Entering state Interval
2019-05-15T18:05:45.3804201Z	ExperimentController	Event NextTrial
2019-05-15T18:05:45.3844189Z	ExperimentController	Entering state Trial
2019-05-15T18:05:45.3883832Z	ExperimentController	Starting trial
2019-05-15T18:05:45.3963817Z	ExperimentController	Gap: Inactive
2019-05-15T18:05:45.4005033Z	ExperimentController	HandOffset: 10
2019-05-15T18:05:45.4045009Z	ExperimentController	Noise type 0
2019-05-15T18:05:45.4075015Z	ExperimentController	NoiseLevel: 0
2019-05-15T18:05:45.4115000Z	ExperimentController	Lambda: 0
2019-05-15T18:05:45.4154984Z	ExperimentController	Collision probability: 1
2019-05-15T18:05:45.4194971Z	ExperimentController	Knife PresentTrue
2019-05-15T18:05:45.4244965Z	TrialController	Started
2019-05-15T18:05:47.3865596Z	TrialController	Entering state SpecificTrial
2019-05-15T18:05:47.3905603Z	VisuomotorAgency	Noise type: Control
2019-05-15T18:05:47.3935572Z	VisuomotorAgency	Delay collision active: 0
2019-05-15T18:05:47.3965570Z	VisuomotorAgency	Started
2019-05-15T18:05:47.3985566Z	TrialController	Visuomotor Information Trial started
2019-05-15T18:05:48.8948506Z	VisuomotorAgency	Entering state ExperimentWave
2019-05-15T18:05:49.4147637Z	WaveController	Started
2019-05-15T18:05:49.6738384Z	WaveController	Entering state Initial
2019-05-15T18:05:50.4204261Z	WaveController	Initial Target Waved
2019-05-15T18:05:50.4224354Z	WaveController	Entering state Delay
2019-05-15T18:05:50.9322823Z	WaveController	Entering state Target
2019-05-15T18:05:50.9342808Z	WaveController	Light: 1
2019-05-15T18:05:52.0283375Z	WaveController	Time in wave: 0 was 1.0934
2019-05-15T18:05:52.0303368Z	WaveController	Entering state Feedback
2019-05-15T18:05:52.2898044Z	WaveController	Waved incorrectly
2019-05-15T18:05:53.5329039Z	WaveController	Entering state Interval
2019-05-15T18:05:53.5359026Z	WaveController	Entering state Initial
2019-05-15T18:05:54.6944578Z	WaveController	Initial Target Waved
2019-05-15T18:05:54.6964640Z	WaveController	Entering state Delay
2019-05-15T18:05:55.2062918Z	WaveController	Entering state Target
2019-05-15T18:05:55.2092848Z	WaveController	Light: 1
2019-05-15T18:05:55.7064756Z	WaveController	Time in wave: 1 was 0.4972324
2019-05-15T18:05:55.7084624Z	WaveController	Entering state Feedback
2019-05-15T18:05:55.9674652Z	WaveController	Waved incorrectly
