2019-05-27T13:32:17.8841284Z	Logger	Started logging
2019-05-27T13:32:17.8951071Z	ExperimentController	Participant: experiment
2019-05-27T13:32:17.9051039Z	ExperimentController	Hand model is female
2019-05-27T13:32:17.9260971Z	ExperimentController	Protocol file Protocol/Visuomotor Information/Protocol01.txt
2019-05-27T13:32:17.9360939Z	ExperimentController	Loaded 4 trials
2019-05-27T13:32:17.9470905Z	ExperimentController	Event ProtocolLoaded
2019-05-27T13:32:17.9580869Z	ExperimentController	Entering state Interval
2019-05-27T13:32:19.3538226Z	ExperimentController	Event NextTrial
2019-05-27T13:32:19.3628555Z	ExperimentController	Entering state Trial
2019-05-27T13:32:19.3658544Z	ExperimentController	Starting trial
2019-05-27T13:32:19.3708529Z	ExperimentController	Gap: Inactive
2019-05-27T13:32:19.3758509Z	ExperimentController	HandOffset: 10
2019-05-27T13:32:19.3798502Z	ExperimentController	Noise type 0
2019-05-27T13:32:19.3838486Z	ExperimentController	NoiseLevel: 0
2019-05-27T13:32:19.3888475Z	ExperimentController	Lambda: 0
2019-05-27T13:32:19.3938580Z	ExperimentController	Collision probability: 1
2019-05-27T13:32:19.3978561Z	ExperimentController	Knife PresentTrue
2019-05-27T13:32:19.4028578Z	TrialController	Started
2019-05-27T13:32:21.3663248Z	TrialController	Entering state SpecificTrial
2019-05-27T13:32:21.3703230Z	VisuomotorAgency	Noise type: Control
2019-05-27T13:32:21.3743226Z	VisuomotorAgency	Delay collision active: 0
2019-05-27T13:32:21.3773221Z	VisuomotorAgency	Started
2019-05-27T13:32:21.3813191Z	TrialController	Visuomotor Information Trial started
2019-05-27T13:32:22.8778248Z	VisuomotorAgency	Entering state ExperimentWave
2019-05-27T13:32:23.3909984Z	WaveController	Started
2019-05-27T13:32:23.6552340Z	WaveController	Entering state Initial
2019-05-27T13:32:24.4357689Z	WaveController	Initial Target Waved
2019-05-27T13:32:24.4387857Z	WaveController	Entering state Delay
2019-05-27T13:32:24.9472282Z	WaveController	Entering state Target
2019-05-27T13:32:24.9492148Z	WaveController	Light: 1
2019-05-27T13:32:25.2658251Z	WaveController	Time in wave: 0 was 0.3147669
2019-05-27T13:32:25.2688240Z	WaveController	Entering state Feedback
2019-05-27T13:32:25.5264323Z	WaveController	Waved incorrectly
2019-05-27T13:32:26.7695503Z	WaveController	Entering state Interval
2019-05-27T13:32:26.7725495Z	WaveController	Entering state Initial
2019-05-27T13:32:27.4835957Z	WaveController	Initial Target Waved
2019-05-27T13:32:27.4876047Z	WaveController	Entering state Delay
2019-05-27T13:32:27.9950226Z	WaveController	Entering state Target
2019-05-27T13:32:27.9980115Z	WaveController	Light: 0
2019-05-27T13:32:28.4111673Z	WaveController	Probability for Wave 1: 0
2019-05-27T13:32:28.4141704Z	WaveController	Time in wave: 1 was 0.4141045
2019-05-27T13:32:28.4171580Z	WaveController	Entering state Feedback
2019-05-27T13:32:28.6748573Z	WaveController	Waved correctly
2019-05-27T13:32:29.9169391Z	WaveController	Entering state Interval
2019-05-27T13:32:29.9209318Z	WaveController	Entering state Initial
2019-05-27T13:32:32.4056653Z	WaveController	Initial Target Waved
2019-05-27T13:32:32.4096643Z	WaveController	Entering state Delay
2019-05-27T13:32:32.9153667Z	WaveController	Entering state Target
2019-05-27T13:32:32.9183664Z	WaveController	Light: 1
2019-05-27T13:32:35.9310427Z	WaveController	Time in wave: 2 was 3.015135
2019-05-27T13:32:35.9330421Z	WaveController	Entering state Feedback
2019-05-27T13:32:36.1970967Z	WaveController	Waved Late
2019-05-27T13:32:37.4381463Z	WaveController	Entering state Interval
2019-05-27T13:32:37.4421564Z	WaveController	Entering state Initial
2019-05-27T13:32:39.8600692Z	WaveController	Initial Target Waved
2019-05-27T13:32:39.8620688Z	WaveController	Entering state Delay
2019-05-27T13:32:40.3704524Z	WaveController	Entering state Target
2019-05-27T13:32:40.3734508Z	WaveController	Light: 0
2019-05-27T13:32:41.5155963Z	WaveController	Probability for Wave 3: 0
2019-05-27T13:32:41.5195865Z	WaveController	Time in wave: 3 was 1.143101
2019-05-27T13:32:41.5215862Z	WaveController	Entering state Feedback
2019-05-27T13:32:41.7788141Z	WaveController	Waved correctly
2019-05-27T13:32:43.0211958Z	WaveController	Entering state Interval
2019-05-27T13:32:43.0251942Z	WaveController	Entering state Initial
2019-05-27T13:32:47.8281849Z	WaveController	Initial Target Waved
2019-05-27T13:32:47.8311844Z	WaveController	Entering state Delay
2019-05-27T13:32:48.3390546Z	WaveController	Entering state Target
2019-05-27T13:32:48.3430536Z	WaveController	Light: 1
