2019-05-15T17:44:52.2395377Z	Logger	Started logging
2019-05-15T17:44:52.2495342Z	ExperimentController	Participant: is it now solved
2019-05-15T17:44:52.2585312Z	ExperimentController	Hand model is female
2019-05-15T17:44:52.2765254Z	ExperimentController	Protocol file Protocol/Visuomotor Information/Protocol01.txt
2019-05-15T17:44:52.2865222Z	ExperimentController	Loaded 4 trials
2019-05-15T17:44:52.2955192Z	ExperimentController	Event ProtocolLoaded
2019-05-15T17:44:52.3045165Z	ExperimentController	Entering state Interval
2019-05-15T17:44:53.7015894Z	ExperimentController	Event NextTrial
2019-05-15T17:44:53.7054891Z	ExperimentController	Entering state Trial
2019-05-15T17:44:53.7094876Z	ExperimentController	Starting trial
2019-05-15T17:44:53.7134860Z	ExperimentController	Gap: Inactive
2019-05-15T17:44:53.7184848Z	ExperimentController	HandOffset: 10
2019-05-15T17:44:53.7214832Z	ExperimentController	Noise type 0
2019-05-15T17:44:53.7324701Z	ExperimentController	NoiseLevel: 0
2019-05-15T17:44:53.7364791Z	ExperimentController	Lambda: 0
2019-05-15T17:44:53.7404778Z	ExperimentController	Collision probability: 1
2019-05-15T17:44:53.7444757Z	ExperimentController	Knife PresentTrue
2019-05-15T17:44:53.7494742Z	TrialController	Started
2019-05-15T17:44:55.7113615Z	TrialController	Entering state SpecificTrial
2019-05-15T17:44:55.7153716Z	VisuomotorAgency	Noise type: Control
2019-05-15T17:44:55.7183711Z	VisuomotorAgency	Delay collision active: 0
2019-05-15T17:44:55.7203698Z	VisuomotorAgency	Started
2019-05-15T17:44:55.7233696Z	TrialController	Visuomotor Information Trial started
2019-05-15T17:44:57.2189240Z	VisuomotorAgency	Entering state ExperimentWave
2019-05-15T17:44:57.7334631Z	WaveController	Started
2019-05-15T17:44:57.9970372Z	WaveController	Entering state Initial
2019-05-15T17:44:59.3579010Z	WaveController	Initial Target Waved
2019-05-15T17:44:59.3608996Z	WaveController	Entering state Delay
2019-05-15T17:44:59.8694286Z	WaveController	Entering state Target
2019-05-15T17:44:59.8714280Z	WaveController	Light: 1
2019-05-15T17:45:00.2203118Z	WaveController	Time in wave: 0 was 0.3479004
2019-05-15T17:45:00.2223112Z	WaveController	Entering state Feedback
2019-05-15T17:45:00.4825974Z	WaveController	Waved incorrectly
2019-05-15T17:45:01.7248655Z	WaveController	Entering state Interval
2019-05-15T17:45:01.7268648Z	WaveController	Entering state Initial
2019-05-15T17:45:02.8367648Z	WaveController	Initial Target Waved
2019-05-15T17:45:02.8387638Z	WaveController	Entering state Delay
2019-05-15T17:45:03.3477355Z	WaveController	Entering state Target
2019-05-15T17:45:03.3507344Z	WaveController	Light: 0
2019-05-15T17:45:04.4268995Z	WaveController	Probability for Wave 1: 0
2019-05-15T17:45:04.4298987Z	WaveController	Time in wave: 1 was 1.076834
2019-05-15T17:45:04.4318980Z	WaveController	Entering state Feedback
2019-05-15T17:45:04.6906033Z	WaveController	Waved correctly
2019-05-15T17:45:05.9325218Z	WaveController	Entering state Interval
2019-05-15T17:45:05.9355207Z	WaveController	Entering state Initial
2019-05-15T17:45:06.6308905Z	WaveController	Initial Target Waved
2019-05-15T17:45:06.6328898Z	WaveController	Entering state Delay
2019-05-15T17:45:07.1418356Z	WaveController	Entering state Target
2019-05-15T17:45:07.1438350Z	WaveController	Light: 1
2019-05-15T17:45:08.0885606Z	WaveController	Probability for Wave 2: 0
2019-05-15T17:45:08.0905600Z	WaveController	Time in wave: 2 was 0.9442978
2019-05-15T17:45:08.0935591Z	WaveController	Entering state Feedback
2019-05-15T17:45:08.3515015Z	WaveController	Waved correctly
