2019-05-13T12:17:48.2095469Z	Logger	Started logging
2019-05-13T12:17:48.2205436Z	ExperimentController	Participant: now it should be working properly
2019-05-13T12:17:48.2285416Z	ExperimentController	Hand model is female
2019-05-13T12:17:48.2465353Z	ExperimentController	Protocol file Protocol/Visuomotor Information/Protocol01.txt
2019-05-13T12:17:48.2565270Z	ExperimentController	Loaded 4 trials
2019-05-13T12:17:48.2665443Z	ExperimentController	Event ProtocolLoaded
2019-05-13T12:17:48.2765465Z	ExperimentController	Entering state Interval
2019-05-13T12:17:49.6724478Z	ExperimentController	Event NextTrial
2019-05-13T12:17:49.6785372Z	ExperimentController	Entering state Trial
2019-05-13T12:17:49.6825362Z	ExperimentController	Starting trial
2019-05-13T12:17:49.6875345Z	ExperimentController	Gap: Inactive
2019-05-13T12:17:49.6915332Z	ExperimentController	HandOffset: 10
2019-05-13T12:17:49.6955368Z	ExperimentController	Noise type 0
2019-05-13T12:17:49.6995187Z	ExperimentController	NoiseLevel: 0
2019-05-13T12:17:49.7045173Z	ExperimentController	Lambda: 0
2019-05-13T12:17:49.7085274Z	ExperimentController	Collision probability: 1
2019-05-13T12:17:49.7125266Z	ExperimentController	Knife PresentTrue
2019-05-13T12:17:49.7165254Z	TrialController	Started
2019-05-13T12:17:51.6778497Z	TrialController	Entering state SpecificTrial
2019-05-13T12:17:51.6818487Z	VisuomotorAgency	Noise type: Control
2019-05-13T12:17:51.6848482Z	VisuomotorAgency	Delay collision active: 0
2019-05-13T12:17:51.6878340Z	VisuomotorAgency	Started
2019-05-13T12:17:51.6908340Z	TrialController	Visuomotor Information Trial started
2019-05-13T12:17:53.1870838Z	VisuomotorAgency	Entering state ExperimentWave
2019-05-13T12:17:53.6995816Z	WaveController	Started
2019-05-13T12:17:53.9652587Z	WaveController	Entering state Initial
2019-05-13T12:17:55.1596642Z	WaveController	Initial Target Waved
2019-05-13T12:17:55.1626622Z	WaveController	Entering state Delay
2019-05-13T12:17:55.6711493Z	WaveController	Entering state Target
2019-05-13T12:17:55.6741488Z	WaveController	Light: 1
2019-05-13T12:17:58.6872614Z	WaveController	Time in wave: 0 was 3.015154
2019-05-13T12:17:58.6892608Z	WaveController	Entering state Feedback
2019-05-13T12:17:59.1999296Z	WaveController	Waved Late
2019-05-13T12:18:00.1932062Z	WaveController	Entering state Interval
2019-05-13T12:18:00.1962053Z	WaveController	Entering state Initial
2019-05-13T12:18:04.4857320Z	WaveController	Initial Target Waved
2019-05-13T12:18:04.4887309Z	WaveController	Entering state Delay
2019-05-13T12:18:04.9977206Z	WaveController	Entering state Target
2019-05-13T12:18:05.0007195Z	WaveController	Light: 1
2019-05-13T12:18:08.0133486Z	WaveController	Time in wave: 1 was 3.015133
2019-05-13T12:18:08.0153483Z	WaveController	Entering state Feedback
2019-05-13T12:18:08.5262779Z	WaveController	Waved Late
2019-05-13T12:18:09.5203367Z	WaveController	Entering state Interval
2019-05-13T12:18:09.5243351Z	WaveController	Entering state Initial
2019-05-13T12:18:15.4536876Z	WaveController	Initial Target Waved
2019-05-13T12:18:15.4556870Z	WaveController	Entering state Delay
2019-05-13T12:18:15.9651856Z	WaveController	Entering state Target
2019-05-13T12:18:15.9671849Z	WaveController	Light: 1
2019-05-13T12:18:16.3663184Z	WaveController	Time in wave: 2 was 0.3984528
2019-05-13T12:18:16.3683175Z	WaveController	Entering state Feedback
2019-05-13T12:18:16.8764371Z	WaveController	Waved incorrectly
2019-05-13T12:18:17.8705204Z	WaveController	Entering state Interval
2019-05-13T12:18:17.8735198Z	WaveController	Entering state Initial
2019-05-13T12:18:18.5842702Z	WaveController	Initial Target Waved
2019-05-13T12:18:18.5862582Z	WaveController	Entering state Delay
2019-05-13T12:18:19.0956217Z	WaveController	Entering state Target
2019-05-13T12:18:19.0986206Z	WaveController	Light: 1
2019-05-13T12:18:19.5128322Z	WaveController	Time in wave: 3 was 0.4141655
2019-05-13T12:18:19.5158334Z	WaveController	Entering state Feedback
2019-05-13T12:18:20.0239055Z	WaveController	Waved incorrectly
2019-05-13T12:18:21.0181688Z	WaveController	Entering state Interval
2019-05-13T12:18:21.0201690Z	WaveController	Entering state Initial
2019-05-13T12:18:21.7164301Z	WaveController	Initial Target Waved
2019-05-13T12:18:21.7184289Z	WaveController	Entering state Delay
2019-05-13T12:18:22.2267388Z	WaveController	Entering state Target
2019-05-13T12:18:22.2297377Z	WaveController	Light: 0
2019-05-13T12:18:22.8750342Z	WaveController	Probability for Wave 4: 0
