2019-05-13T10:56:59.2725446Z	Logger	Started logging
2019-05-13T10:56:59.2805600Z	ExperimentController	Participant: testit againg, there is an error
2019-05-13T10:56:59.2885597Z	ExperimentController	Hand model is female
2019-05-13T10:56:59.3129628Z	ExperimentController	Protocol file Protocol/Visuomotor Information/Protocol01.txt
2019-05-13T10:56:59.3209594Z	ExperimentController	Loaded 4 trials
2019-05-13T10:56:59.3308902Z	ExperimentController	Event ProtocolLoaded
2019-05-13T10:56:59.3428893Z	ExperimentController	Entering state Interval
2019-05-13T10:57:00.7382971Z	ExperimentController	Event NextTrial
2019-05-13T10:57:00.7422944Z	ExperimentController	Entering state Trial
2019-05-13T10:57:00.7462575Z	ExperimentController	Starting trial
2019-05-13T10:57:00.7502585Z	ExperimentController	Gap: Inactive
2019-05-13T10:57:00.7542578Z	ExperimentController	HandOffset: 10
2019-05-13T10:57:00.7582580Z	ExperimentController	Noise type 0
2019-05-13T10:57:00.7627732Z	ExperimentController	NoiseLevel: 0
2019-05-13T10:57:00.7667717Z	ExperimentController	Lambda: 0
2019-05-13T10:57:00.7707804Z	ExperimentController	Collision probability: 1
2019-05-13T10:57:00.7747794Z	ExperimentController	Knife PresentTrue
2019-05-13T10:57:00.7867795Z	TrialController	Started
2019-05-13T10:57:02.7462507Z	TrialController	Entering state SpecificTrial
2019-05-13T10:57:02.7502304Z	VisuomotorAgency	Noise type: Control
2019-05-13T10:57:02.7542305Z	VisuomotorAgency	Delay collision active: 0
2019-05-13T10:57:02.7582304Z	VisuomotorAgency	Started
2019-05-13T10:57:02.7582304Z	TrialController	Visuomotor Information Trial started
2019-05-13T10:57:04.2544320Z	VisuomotorAgency	Entering state ExperimentWave
2019-05-13T10:57:04.7707041Z	WaveController	Started
2019-05-13T10:57:05.0342442Z	WaveController	Entering state Initial
2019-05-13T10:57:06.1163594Z	WaveController	Initial Target Waved
2019-05-13T10:57:06.1163594Z	WaveController	Entering state Delay
2019-05-13T10:57:06.6244404Z	WaveController	Entering state Target
2019-05-13T10:57:06.6284394Z	WaveController	Light: 0
2019-05-13T10:57:08.3002456Z	WaveController	Probability for Wave 0: 0
2019-05-13T10:57:08.3002456Z	WaveController	Time in wave: 0 was 1.671936
2019-05-13T10:57:08.3042457Z	WaveController	Entering state Feedback
2019-05-13T10:57:08.8120436Z	WaveController	Waved correctly
2019-05-13T10:57:09.8063874Z	WaveController	Entering state Interval
2019-05-13T10:57:09.8103976Z	WaveController	Entering state Initial
2019-05-13T10:57:10.5515278Z	WaveController	Initial Target Waved
2019-05-13T10:57:10.5555402Z	WaveController	Entering state Delay
2019-05-13T10:57:11.0639741Z	WaveController	Entering state Target
2019-05-13T10:57:11.0679361Z	WaveController	Light: 0
2019-05-13T10:57:11.6347071Z	WaveController	Probability for Wave 1: 0
2019-05-13T10:57:11.6387067Z	WaveController	Time in wave: 1 was 0.5627689
2019-05-13T10:57:11.6387067Z	WaveController	Entering state Feedback
2019-05-13T10:57:12.1422163Z	WaveController	Waved correctly
2019-05-13T10:57:13.1341426Z	WaveController	Entering state Interval
2019-05-13T10:57:13.1380927Z	WaveController	Entering state Initial
2019-05-13T10:57:13.8193644Z	WaveController	Initial Target Waved
2019-05-13T10:57:13.8210543Z	WaveController	Entering state Delay
2019-05-13T10:57:14.3299769Z	WaveController	Entering state Target
2019-05-13T10:57:14.3339654Z	WaveController	Light: 1
2019-05-13T10:57:15.0106054Z	WaveController	Time in wave: 2 was 0.6766777
2019-05-13T10:57:15.0106054Z	WaveController	Entering state Feedback
2019-05-13T10:57:15.5226253Z	WaveController	Waved incorrectly
2019-05-13T10:57:16.5169797Z	WaveController	Entering state Interval
2019-05-13T10:57:16.5209298Z	WaveController	Entering state Initial
2019-05-13T10:57:17.2826291Z	WaveController	Initial Target Waved
2019-05-13T10:57:17.2826291Z	WaveController	Entering state Delay
2019-05-13T10:57:17.7945164Z	WaveController	Entering state Target
2019-05-13T10:57:17.7984654Z	WaveController	Light: 1
2019-05-13T10:57:18.6901480Z	WaveController	Time in wave: 3 was 0.891716
2019-05-13T10:57:18.6901480Z	WaveController	Entering state Feedback
2019-05-13T10:57:19.1986180Z	WaveController	Waved incorrectly
2019-05-13T10:57:20.1949268Z	WaveController	Entering state Interval
2019-05-13T10:57:20.1989278Z	WaveController	Entering state Initial
2019-05-13T10:57:24.0085392Z	WaveController	Initial Target Waved
2019-05-13T10:57:24.0085392Z	WaveController	Entering state Delay
2019-05-13T10:57:24.5166037Z	WaveController	Entering state Target
2019-05-13T10:57:24.5205654Z	WaveController	Light: 1
2019-05-13T10:57:25.8933271Z	WaveController	Time in wave: 4 was 1.37431
2019-05-13T10:57:25.8958661Z	WaveController	Entering state Feedback
2019-05-13T10:57:26.4044354Z	WaveController	Waved incorrectly
2019-05-13T10:57:27.3986273Z	WaveController	Entering state Interval
2019-05-13T10:57:27.4025939Z	WaveController	Entering state Initial
2019-05-13T10:57:28.0151901Z	WaveController	Initial Target Waved
2019-05-13T10:57:28.0151901Z	WaveController	Entering state Delay
2019-05-13T10:57:28.5274399Z	WaveController	Entering state Target
