2019-05-24T11:15:34.4166587Z	Logger	Started logging
2019-05-24T11:15:34.4276545Z	ExperimentController	Participant: the knife disappeared
2019-05-24T11:15:34.4366514Z	ExperimentController	Hand model is female
2019-05-24T11:15:34.4536461Z	ExperimentController	Protocol file Protocol/Visuomotor Information/Protocol01.txt
2019-05-24T11:15:34.4656423Z	ExperimentController	Loaded 4 trials
2019-05-24T11:15:34.4746392Z	ExperimentController	Event ProtocolLoaded
2019-05-24T11:15:34.4896346Z	ExperimentController	Entering state Interval
2019-05-24T11:15:35.8858058Z	ExperimentController	Event NextTrial
2019-05-24T11:15:35.8943795Z	ExperimentController	Entering state Trial
2019-05-24T11:15:35.8983779Z	ExperimentController	Starting trial
2019-05-24T11:15:35.9033762Z	ExperimentController	Gap: Inactive
2019-05-24T11:15:35.9073752Z	ExperimentController	HandOffset: 10
2019-05-24T11:15:35.9113739Z	ExperimentController	Noise type 0
2019-05-24T11:15:35.9153723Z	ExperimentController	NoiseLevel: 0
2019-05-24T11:15:35.9193713Z	ExperimentController	Lambda: 0
2019-05-24T11:15:35.9233697Z	ExperimentController	Collision probability: 1
2019-05-24T11:15:35.9273685Z	ExperimentController	Knife PresentTrue
2019-05-24T11:15:35.9323670Z	TrialController	Started
2019-05-24T11:15:37.8932645Z	TrialController	Entering state SpecificTrial
2019-05-24T11:15:37.8972618Z	VisuomotorAgency	Noise type: Control
2019-05-24T11:15:37.9012718Z	VisuomotorAgency	Delay collision active: 0
2019-05-24T11:15:37.9032709Z	VisuomotorAgency	Started
2019-05-24T11:15:37.9062704Z	TrialController	Visuomotor Information Trial started
2019-05-24T11:15:39.4022687Z	VisuomotorAgency	Entering state ExperimentWave
2019-05-24T11:15:39.9151371Z	WaveController	Started
2019-05-24T11:15:40.1809828Z	WaveController	Entering state Initial
2019-05-24T11:15:41.5235207Z	WaveController	Initial Target Waved
2019-05-24T11:15:41.5265255Z	WaveController	Entering state Delay
2019-05-24T11:15:42.0351964Z	WaveController	Entering state Target
2019-05-24T11:15:42.0381956Z	WaveController	Light: 0
2019-05-24T11:15:42.5029938Z	WaveController	Probability for Wave 0: 0
2019-05-24T11:15:42.5059978Z	WaveController	Time in wave: 0 was 0.4645977
2019-05-24T11:15:42.5079917Z	WaveController	Entering state Feedback
2019-05-24T11:15:42.7644372Z	WaveController	Waved correctly
2019-05-24T11:15:44.0063060Z	WaveController	Entering state Interval
2019-05-24T11:15:44.0093049Z	WaveController	Entering state Initial
2019-05-24T11:15:44.6551890Z	WaveController	Initial Target Waved
2019-05-24T11:15:44.6581828Z	WaveController	Entering state Delay
2019-05-24T11:15:45.1670920Z	WaveController	Entering state Target
2019-05-24T11:15:45.1690913Z	WaveController	Light: 1
2019-05-24T11:15:45.7327174Z	WaveController	Time in wave: 1 was 0.5632839
2019-05-24T11:15:45.7357288Z	WaveController	Entering state Feedback
2019-05-24T11:15:45.9943155Z	WaveController	Waved incorrectly
2019-05-24T11:15:47.2370317Z	WaveController	Entering state Interval
2019-05-24T11:15:47.2400306Z	WaveController	Entering state Initial
2019-05-24T11:15:47.9683771Z	WaveController	Initial Target Waved
2019-05-24T11:15:47.9703761Z	WaveController	Entering state Delay
2019-05-24T11:15:48.4793937Z	WaveController	Entering state Target
2019-05-24T11:15:48.4823935Z	WaveController	Light: 1
2019-05-24T11:15:48.9460704Z	WaveController	Time in wave: 2 was 0.4638672
2019-05-24T11:15:48.9490693Z	WaveController	Entering state Feedback
2019-05-24T11:15:49.2088592Z	WaveController	Waved incorrectly
2019-05-24T11:15:50.4512153Z	WaveController	Entering state Interval
2019-05-24T11:15:50.4542142Z	WaveController	Entering state Initial
2019-05-24T11:15:51.1163051Z	WaveController	Initial Target Waved
2019-05-24T11:15:51.1193187Z	WaveController	Entering state Delay
2019-05-24T11:15:51.6275419Z	WaveController	Entering state Target
2019-05-24T11:15:51.6295407Z	WaveController	Light: 1
2019-05-24T11:15:52.5412196Z	WaveController	Time in wave: 3 was 0.9111061
2019-05-24T11:15:52.5442177Z	WaveController	Entering state Feedback
2019-05-24T11:15:52.8037940Z	WaveController	Waved incorrectly
2019-05-24T11:15:54.0464774Z	WaveController	Entering state Interval
2019-05-24T11:15:54.0494772Z	WaveController	Entering state Initial
2019-05-24T11:15:54.6945433Z	WaveController	Initial Target Waved
2019-05-24T11:15:54.6965426Z	WaveController	Entering state Delay
2019-05-24T11:15:55.2054498Z	WaveController	Entering state Target
2019-05-24T11:15:55.2084487Z	WaveController	Light: 1
2019-05-24T11:15:56.0203584Z	WaveController	Time in wave: 4 was 0.8117676
2019-05-24T11:15:56.0233575Z	WaveController	Entering state Feedback
2019-05-24T11:15:56.2825308Z	WaveController	Waved incorrectly
2019-05-24T11:15:57.5253912Z	WaveController	Entering state Interval
2019-05-24T11:15:57.5283904Z	WaveController	Entering state Initial
2019-05-24T11:15:58.2231263Z	WaveController	Initial Target Waved
2019-05-24T11:15:58.2261372Z	WaveController	Entering state Delay
2019-05-24T11:15:58.7346792Z	WaveController	Entering state Target
2019-05-24T11:15:58.7376769Z	WaveController	Light: 1
2019-05-24T11:16:00.2119838Z	WaveController	Time in wave: 5 was 1.474281
2019-05-24T11:16:00.2149762Z	WaveController	Entering state Feedback
2019-05-24T11:16:00.4745903Z	WaveController	Waved incorrectly
2019-05-24T11:16:01.7168135Z	WaveController	Entering state Interval
2019-05-24T11:16:01.7198247Z	WaveController	Entering state Initial
2019-05-24T11:16:02.5303217Z	WaveController	Initial Target Waved
2019-05-24T11:16:02.5323208Z	WaveController	Entering state Delay
2019-05-24T11:16:03.0425015Z	WaveController	Entering state Target
2019-05-24T11:16:03.0444991Z	WaveController	Light: 0
2019-05-24T11:16:04.1706771Z	WaveController	Probability for Wave 6: 0
2019-05-24T11:16:04.1736760Z	WaveController	Time in wave: 6 was 1.126534
2019-05-24T11:16:04.1756762Z	WaveController	Entering state Feedback
2019-05-24T11:16:04.4330640Z	WaveController	Waved correctly
2019-05-24T11:16:05.6830725Z	WaveController	Entering state Interval
2019-05-24T11:16:05.6850721Z	WaveController	Entering state Initial
2019-05-24T11:16:06.4565346Z	WaveController	Initial Target Waved
2019-05-24T11:16:06.4585343Z	WaveController	Entering state Delay
2019-05-24T11:16:06.9688919Z	WaveController	Entering state Target
2019-05-24T11:16:06.9708799Z	WaveController	Light: 1
2019-05-24T11:16:08.3791602Z	WaveController	Time in wave: 7 was 1.408169
2019-05-24T11:16:08.3821468Z	WaveController	Entering state Feedback
2019-05-24T11:16:08.6416950Z	WaveController	Waved incorrectly
2019-05-24T11:16:09.8836741Z	WaveController	Entering state Interval
2019-05-24T11:16:09.8866730Z	WaveController	Entering state Initial
2019-05-24T11:16:10.5154897Z	WaveController	Initial Target Waved
2019-05-24T11:16:10.5174768Z	WaveController	Entering state Delay
2019-05-24T11:16:11.0267495Z	WaveController	Entering state Target
2019-05-24T11:16:11.0297484Z	WaveController	Light: 1
2019-05-24T11:16:12.4385029Z	WaveController	Time in wave: 8 was 1.408436
2019-05-24T11:16:12.4405017Z	WaveController	Entering state Feedback
2019-05-24T11:16:12.7065383Z	WaveController	Waved incorrectly
2019-05-24T11:16:13.9435545Z	WaveController	Entering state Interval
2019-05-24T11:16:13.9455683Z	WaveController	Entering state Initial
2019-05-24T11:16:14.5747087Z	WaveController	Initial Target Waved
2019-05-24T11:16:14.5767083Z	WaveController	Entering state Delay
2019-05-24T11:16:15.0863844Z	WaveController	Entering state Target
2019-05-24T11:16:15.0883775Z	WaveController	Light: 1
