2019-05-13T12:15:12.7285699Z	Logger	Started logging
2019-05-13T12:15:12.7405695Z	ExperimentController	Participant: where is the error
2019-05-13T12:15:12.7485524Z	ExperimentController	Hand model is female
2019-05-13T12:15:12.7645695Z	ExperimentController	Protocol file Protocol/Visuomotor Information/Protocol01.txt
2019-05-13T12:15:12.7765523Z	ExperimentController	Loaded 4 trials
2019-05-13T12:15:12.7845648Z	ExperimentController	Event ProtocolLoaded
2019-05-13T12:15:12.7965858Z	ExperimentController	Entering state Interval
2019-05-13T12:15:14.1932941Z	ExperimentController	Event NextTrial
2019-05-13T12:15:14.1972754Z	ExperimentController	Entering state Trial
2019-05-13T12:15:14.2012756Z	ExperimentController	Starting trial
2019-05-13T12:15:14.2052757Z	ExperimentController	Gap: Inactive
2019-05-13T12:15:14.2092756Z	ExperimentController	HandOffset: 10
2019-05-13T12:15:14.2132757Z	ExperimentController	Noise type 0
2019-05-13T12:15:14.2187470Z	ExperimentController	NoiseLevel: 0
2019-05-13T12:15:14.2227586Z	ExperimentController	Lambda: 0
2019-05-13T12:15:14.2267581Z	ExperimentController	Collision probability: 1
2019-05-13T12:15:14.2267581Z	ExperimentController	Knife PresentTrue
2019-05-13T12:15:14.2347584Z	TrialController	Started
2019-05-13T12:15:16.1962255Z	TrialController	Entering state SpecificTrial
2019-05-13T12:15:16.2013390Z	VisuomotorAgency	Noise type: Control
2019-05-13T12:15:16.2053309Z	VisuomotorAgency	Delay collision active: 0
2019-05-13T12:15:16.2053309Z	VisuomotorAgency	Started
2019-05-13T12:15:16.2093305Z	TrialController	Visuomotor Information Trial started
2019-05-13T12:15:17.7061181Z	VisuomotorAgency	Entering state ExperimentWave
2019-05-13T12:15:18.2164544Z	WaveController	Started
2019-05-13T12:15:18.4684088Z	WaveController	Entering state Initial
2019-05-13T12:15:19.4126957Z	WaveController	Initial Target Waved
2019-05-13T12:15:19.4192957Z	WaveController	Entering state Delay
2019-05-13T12:15:19.9235173Z	WaveController	Entering state Target
2019-05-13T12:15:19.9274673Z	WaveController	Light: 0
2019-05-13T12:15:20.5421485Z	WaveController	Probability for Wave 0: 0
2019-05-13T12:15:20.5461475Z	WaveController	Time in wave: 0 was 0.6146278
2019-05-13T12:15:20.5501602Z	WaveController	Entering state Feedback
2019-05-13T12:15:21.0531481Z	WaveController	Waved correctly
2019-05-13T12:15:22.0483185Z	WaveController	Entering state Interval
2019-05-13T12:15:22.0522700Z	WaveController	Entering state Initial
2019-05-13T12:15:22.8806287Z	WaveController	Initial Target Waved
2019-05-13T12:15:22.8806287Z	WaveController	Entering state Delay
2019-05-13T12:15:23.3903733Z	WaveController	Entering state Target
2019-05-13T12:15:23.3943578Z	WaveController	Light: 0
2019-05-13T12:15:24.8362652Z	WaveController	Probability for Wave 1: 0
2019-05-13T12:15:24.8362652Z	WaveController	Time in wave: 1 was 1.441883
2019-05-13T12:15:24.8402657Z	WaveController	Entering state Feedback
2019-05-13T12:15:25.3423849Z	WaveController	Waved correctly
2019-05-13T12:15:26.3396395Z	WaveController	Entering state Interval
2019-05-13T12:15:26.3435901Z	WaveController	Entering state Initial
2019-05-13T12:15:27.0062614Z	WaveController	Initial Target Waved
2019-05-13T12:15:27.0062614Z	WaveController	Entering state Delay
2019-05-13T12:15:27.5141509Z	WaveController	Entering state Target
2019-05-13T12:15:27.5181379Z	WaveController	Light: 1
2019-05-13T12:15:27.9663885Z	WaveController	Time in wave: 2 was 0.4482937
2019-05-13T12:15:27.9663885Z	WaveController	Entering state Feedback
2019-05-13T12:15:28.4738032Z	WaveController	Waved incorrectly
2019-05-13T12:15:29.4708243Z	WaveController	Entering state Interval
2019-05-13T12:15:29.4747746Z	WaveController	Entering state Initial
2019-05-13T12:15:30.2857358Z	WaveController	Initial Target Waved
2019-05-13T12:15:30.2857358Z	WaveController	Entering state Delay
2019-05-13T12:15:30.7944817Z	WaveController	Entering state Target
2019-05-13T12:15:30.7984597Z	WaveController	Light: 1
2019-05-13T12:15:31.4625395Z	WaveController	Time in wave: 3 was 0.6640625
2019-05-13T12:15:31.4625395Z	WaveController	Entering state Feedback
2019-05-13T12:15:31.9694224Z	WaveController	Waved incorrectly
2019-05-13T12:15:32.9642207Z	WaveController	Entering state Interval
2019-05-13T12:15:32.9682004Z	WaveController	Entering state Initial
2019-05-13T12:15:33.6800416Z	WaveController	Initial Target Waved
2019-05-13T12:15:33.6800416Z	WaveController	Entering state Delay
2019-05-13T12:15:34.1900815Z	WaveController	Entering state Target
