2019-05-15T17:39:29.5056414Z	Logger	Started logging
2019-05-15T17:39:29.5156379Z	ExperimentController	Participant: why is is not working again
2019-05-15T17:39:29.5246349Z	ExperimentController	Hand model is female
2019-05-15T17:39:29.5426291Z	ExperimentController	Protocol file Protocol/Visuomotor Information/Protocol01.txt
2019-05-15T17:39:29.5536257Z	ExperimentController	Loaded 4 trials
2019-05-15T17:39:29.5626230Z	ExperimentController	Event ProtocolLoaded
2019-05-15T17:39:29.5716197Z	ExperimentController	Entering state Interval
2019-05-15T17:39:30.9685564Z	ExperimentController	Event NextTrial
2019-05-15T17:39:30.9765754Z	ExperimentController	Entering state Trial
2019-05-15T17:39:30.9805739Z	ExperimentController	Starting trial
2019-05-15T17:39:30.9845734Z	ExperimentController	Gap: Inactive
2019-05-15T17:39:30.9885719Z	ExperimentController	HandOffset: 10
2019-05-15T17:39:30.9925700Z	ExperimentController	Noise type 0
2019-05-15T17:39:30.9975580Z	ExperimentController	NoiseLevel: 0
2019-05-15T17:39:31.0015673Z	ExperimentController	Lambda: 0
2019-05-15T17:39:31.0055657Z	ExperimentController	Collision probability: 1
2019-05-15T17:39:31.0105645Z	ExperimentController	Knife PresentTrue
2019-05-15T17:39:31.0204828Z	TrialController	Started
2019-05-15T17:39:32.9812872Z	TrialController	Entering state SpecificTrial
2019-05-15T17:39:32.9852860Z	VisuomotorAgency	Noise type: Control
2019-05-15T17:39:32.9892855Z	VisuomotorAgency	Delay collision active: 0
2019-05-15T17:39:32.9922836Z	VisuomotorAgency	Started
2019-05-15T17:39:32.9952825Z	TrialController	Visuomotor Information Trial started
2019-05-15T17:39:34.4906324Z	VisuomotorAgency	Entering state ExperimentWave
2019-05-15T17:39:35.0052267Z	WaveController	Started
2019-05-15T17:39:35.2691472Z	WaveController	Entering state Initial
2019-05-15T17:39:36.6126653Z	WaveController	Initial Target Waved
2019-05-15T17:39:36.6156627Z	WaveController	Entering state Delay
2019-05-15T17:39:37.1249453Z	WaveController	Entering state Target
2019-05-15T17:39:37.1269458Z	WaveController	Light: 0
2019-05-15T17:39:37.6899920Z	WaveController	Probability for Wave 0: 0
2019-05-15T17:39:37.6939891Z	WaveController	Time in wave: 0 was 0.563673
2019-05-15T17:39:37.6959884Z	WaveController	Entering state Feedback
2019-05-15T17:39:37.9530544Z	WaveController	Waved correctly
2019-05-15T17:39:39.1955572Z	WaveController	Entering state Interval
2019-05-15T17:39:39.1985626Z	WaveController	Entering state Initial
2019-05-15T17:39:39.8430811Z	WaveController	Initial Target Waved
2019-05-15T17:39:39.8460806Z	WaveController	Entering state Delay
2019-05-15T17:39:40.3550005Z	WaveController	Entering state Target
2019-05-15T17:39:40.3569999Z	WaveController	Light: 0
2019-05-15T17:39:41.3010653Z	WaveController	Probability for Wave 1: 0
2019-05-15T17:39:41.3040648Z	WaveController	Time in wave: 1 was 0.9441872
2019-05-15T17:39:41.3070634Z	WaveController	Entering state Feedback
2019-05-15T17:39:41.5650066Z	WaveController	Waved correctly
2019-05-15T17:39:42.8067718Z	WaveController	Entering state Interval
2019-05-15T17:39:42.8097707Z	WaveController	Entering state Initial
2019-05-15T17:39:43.4883290Z	WaveController	Initial Target Waved
2019-05-15T17:39:43.4903283Z	WaveController	Entering state Delay
2019-05-15T17:39:43.9997736Z	WaveController	Entering state Target
2019-05-15T17:39:44.0024678Z	WaveController	Light: 0
2019-05-15T17:39:45.6922912Z	WaveController	Time in wave: 2 was 1.6898
2019-05-15T17:39:45.6952912Z	WaveController	Entering state Feedback
2019-05-15T17:39:45.9546388Z	WaveController	Waved incorrectly
2019-05-15T17:39:47.1973486Z	WaveController	Entering state Interval
2019-05-15T17:39:47.2003475Z	WaveController	Entering state Initial
2019-05-15T17:39:48.7563475Z	WaveController	Initial Target Waved
2019-05-15T17:39:48.7593464Z	WaveController	Entering state Delay
2019-05-15T17:39:49.2674735Z	WaveController	Entering state Target
2019-05-15T17:39:49.2704730Z	WaveController	Light: 0
2019-05-15T17:39:49.6511412Z	WaveController	Probability for Wave 3: 0
2019-05-15T17:39:49.6541398Z	WaveController	Time in wave: 3 was 0.3814049
2019-05-15T17:39:49.6561395Z	WaveController	Entering state Feedback
2019-05-15T17:39:49.9143455Z	WaveController	Waved correctly
2019-05-15T17:39:51.1567382Z	WaveController	Entering state Interval
2019-05-15T17:39:51.1587376Z	WaveController	Entering state Initial
2019-05-15T17:39:52.5837760Z	WaveController	Initial Target Waved
2019-05-15T17:39:52.5867737Z	WaveController	Entering state Delay
2019-05-15T17:39:53.0943175Z	WaveController	Entering state Target
2019-05-15T17:39:53.0973056Z	WaveController	Light: 0
2019-05-15T17:39:54.2073901Z	WaveController	Probability for Wave 4: 0
2019-05-15T17:39:54.2093894Z	WaveController	Time in wave: 4 was 1.109966
2019-05-15T17:39:54.2123892Z	WaveController	Entering state Feedback
2019-05-15T17:39:54.4695477Z	WaveController	Waved correctly
2019-05-15T17:39:55.7133893Z	WaveController	Entering state Interval
2019-05-15T17:39:55.7163888Z	WaveController	Entering state Initial
2019-05-15T17:39:55.8304353Z	WaveController	Initial Target Waved
2019-05-15T17:39:55.8334476Z	WaveController	Entering state Delay
2019-05-15T17:39:56.3421354Z	WaveController	Entering state Target
2019-05-15T17:39:56.3441305Z	WaveController	Light: 1
2019-05-15T17:39:57.0738344Z	WaveController	Time in wave: 5 was 0.7291718
2019-05-15T17:39:57.0758340Z	WaveController	Entering state Feedback
2019-05-15T17:39:57.3355044Z	WaveController	Waved incorrectly
2019-05-15T17:39:58.5783803Z	WaveController	Entering state Interval
2019-05-15T17:39:58.5823779Z	WaveController	Entering state Initial
2019-05-15T17:39:59.0439799Z	WaveController	Initial Target Waved
2019-05-15T17:39:59.0469791Z	WaveController	Entering state Delay
2019-05-15T17:39:59.5553068Z	WaveController	Entering state Target
2019-05-15T17:39:59.5583060Z	WaveController	Light: 0
2019-05-15T17:39:59.9230805Z	WaveController	Probability for Wave 6: 0
2019-05-15T17:39:59.9260794Z	WaveController	Time in wave: 6 was 0.3654404
2019-05-15T17:39:59.9290803Z	WaveController	Entering state Feedback
2019-05-15T17:40:00.1856437Z	WaveController	Waved correctly
2019-05-15T17:40:01.4284005Z	WaveController	Entering state Interval
2019-05-15T17:40:01.4314122Z	WaveController	Entering state Initial
2019-05-15T17:40:02.4072458Z	WaveController	Initial Target Waved
2019-05-15T17:40:02.4092452Z	WaveController	Entering state Delay
2019-05-15T17:40:02.9186859Z	WaveController	Entering state Target
2019-05-15T17:40:02.9216853Z	WaveController	Light: 0
2019-05-15T17:40:03.6991062Z	WaveController	Probability for Wave 7: 0
2019-05-15T17:40:03.7030910Z	WaveController	Time in wave: 7 was 0.7785606
2019-05-15T17:40:03.7051043Z	WaveController	Entering state Feedback
2019-05-15T17:40:03.9623094Z	WaveController	Waved correctly
2019-05-15T17:40:05.2053560Z	WaveController	Entering state Interval
2019-05-15T17:40:05.2073554Z	WaveController	Entering state Initial
2019-05-15T17:40:06.7142805Z	WaveController	Initial Target Waved
2019-05-15T17:40:06.7172791Z	WaveController	Entering state Delay
2019-05-15T17:40:07.2260545Z	WaveController	Entering state Target
2019-05-15T17:40:07.2290539Z	WaveController	Light: 0
2019-05-15T17:40:07.5922726Z	WaveController	Probability for Wave 8: 0
2019-05-15T17:40:07.6032695Z	WaveController	Time in wave: 8 was 0.3644295
2019-05-15T17:40:07.6052686Z	WaveController	Entering state Feedback
2019-05-15T17:40:07.8414868Z	WaveController	Waved correctly
2019-05-15T17:40:09.1005175Z	WaveController	Entering state Interval
2019-05-15T17:40:09.1035161Z	WaveController	Entering state Initial
2019-05-15T17:40:09.5178824Z	WaveController	Initial Target Waved
2019-05-15T17:40:09.5198818Z	WaveController	Entering state Delay
2019-05-15T17:40:10.0292136Z	WaveController	Entering state Target
2019-05-15T17:40:10.0312126Z	WaveController	Light: 0
2019-05-15T17:40:10.4794074Z	WaveController	Probability for Wave 9: 0
2019-05-15T17:40:10.4824065Z	WaveController	Time in wave: 9 was 0.4478302
2019-05-15T17:40:10.4844059Z	WaveController	Entering state Feedback
2019-05-15T17:40:10.7406103Z	WaveController	Waved correctly
2019-05-15T17:40:11.9837335Z	WaveController	Entering state Interval
2019-05-15T17:40:11.9867329Z	WaveController	Entering state Initial
2019-05-15T17:40:12.3835741Z	WaveController	Initial Target Waved
2019-05-15T17:40:12.3855726Z	WaveController	Entering state Delay
2019-05-15T17:40:12.8949462Z	WaveController	Entering state Target
2019-05-15T17:40:12.8969495Z	WaveController	Light: 0
2019-05-15T17:40:13.4930704Z	WaveController	Probability for Wave 10: 0
2019-05-15T17:40:13.4960693Z	WaveController	Time in wave: 10 was 0.5964622
2019-05-15T17:40:13.4990690Z	WaveController	Entering state Feedback
2019-05-15T17:40:13.7564209Z	WaveController	Waved correctly
2019-05-15T17:40:14.9996885Z	WaveController	Entering state Interval
2019-05-15T17:40:15.0026874Z	WaveController	Entering state Initial
2019-05-15T17:40:15.1833443Z	WaveController	Initial Target Waved
2019-05-15T17:40:15.1853437Z	WaveController	Entering state Delay
2019-05-15T17:40:15.6946054Z	WaveController	Entering state Target
2019-05-15T17:40:15.6966048Z	WaveController	Light: 1
2019-05-15T17:40:16.5753988Z	WaveController	Time in wave: 11 was 0.8780289
2019-05-15T17:40:16.5773984Z	WaveController	Entering state Feedback
2019-05-15T17:40:16.8374895Z	WaveController	Waved incorrectly
2019-05-15T17:40:18.0807813Z	WaveController	Entering state Interval
2019-05-15T17:40:18.0837799Z	WaveController	Entering state Initial
2019-05-15T17:40:18.6951763Z	WaveController	Initial Target Waved
2019-05-15T17:40:18.6981755Z	WaveController	Entering state Delay
2019-05-15T17:40:19.2066602Z	WaveController	Entering state Target
2019-05-15T17:40:19.2096588Z	WaveController	Light: 1
2019-05-15T17:40:19.5914944Z	WaveController	Time in wave: 12 was 0.3818436
2019-05-15T17:40:19.5938902Z	WaveController	Entering state Feedback
2019-05-15T17:40:19.8526789Z	WaveController	Waved incorrectly
2019-05-15T17:40:21.0949302Z	WaveController	Entering state Interval
2019-05-15T17:40:21.0979291Z	WaveController	Entering state Initial
2019-05-15T17:40:21.7272178Z	WaveController	Initial Target Waved
2019-05-15T17:40:21.7292169Z	WaveController	Entering state Delay
2019-05-15T17:40:22.2387239Z	WaveController	Entering state Target
2019-05-15T17:40:22.2407233Z	WaveController	Light: 0
2019-05-15T17:40:22.7543063Z	WaveController	Probability for Wave 13: 0
2019-05-15T17:40:22.7573058Z	WaveController	Time in wave: 13 was 0.5141678
2019-05-15T17:40:22.7603044Z	WaveController	Entering state Feedback
2019-05-15T17:40:23.0172032Z	WaveController	Waved correctly
2019-05-15T17:40:24.2599702Z	WaveController	Entering state Interval
2019-05-15T17:40:24.2629694Z	WaveController	Entering state Initial
2019-05-15T17:40:24.9075860Z	WaveController	Initial Target Waved
2019-05-15T17:40:24.9095851Z	WaveController	Entering state Delay
2019-05-15T17:40:25.4186580Z	WaveController	Entering state Target
2019-05-15T17:40:25.4216572Z	WaveController	Light: 1
2019-05-15T17:40:25.9692083Z	WaveController	Time in wave: 14 was 0.5472336
2019-05-15T17:40:25.9722081Z	WaveController	Entering state Feedback
2019-05-15T17:40:26.2306539Z	WaveController	Waved incorrectly
2019-05-15T17:40:27.4761795Z	WaveController	Entering state Interval
2019-05-15T17:40:27.4791781Z	WaveController	Entering state Initial
2019-05-15T17:40:28.4197321Z	WaveController	Initial Target Waved
2019-05-15T17:40:28.4217314Z	WaveController	Entering state Delay
2019-05-15T17:40:28.9308678Z	WaveController	Entering state Target
2019-05-15T17:40:28.9338664Z	WaveController	Light: 0
2019-05-15T17:40:29.1485499Z	WaveController	Probability for Wave 15: 0
2019-05-15T17:40:29.1515497Z	WaveController	Time in wave: 15 was 0.2154617
2019-05-15T17:40:29.1545480Z	WaveController	Entering state Feedback
2019-05-15T17:40:29.4114496Z	WaveController	Waved correctly
2019-05-15T17:40:30.6544942Z	WaveController	Entering state Interval
2019-05-15T17:40:30.6564933Z	WaveController	Entering state Initial
2019-05-15T17:40:31.3028596Z	WaveController	Initial Target Waved
2019-05-15T17:40:31.3058587Z	WaveController	Entering state Delay
2019-05-15T17:40:31.8143750Z	WaveController	Entering state Target
2019-05-15T17:40:31.8163741Z	WaveController	Light: 0
2019-05-15T17:40:33.6388103Z	WaveController	Probability for Wave 16: 0
